problem,cv_folds,fold,budget,sample_id,discrete_arch_id,f0,f1
mdgnc,10,2,25,2,0,-3.4990847452317126,18.99308944316971
mdgnc,10,2,25,1322,11,-3.705305396203862,25.76595382125119
mdgnc,10,2,25,1672,39,-3.798823602227708,42.94048233255644
mdgnc,10,2,25,2592,68,-3.862405179137479,50.75479423518099
mdgnc,10,2,25,2692,168,-3.730207462647009,44.1765117933539
mdgnc,10,2,25,2782,258,-3.863668518742288,36.97016007182584
mdgnc,10,2,25,3002,300,-7.038674375905001,37.70898680520605
mdgnc,10,2,25,3092,292,-7.243499362015441,40.6686887365432
mdgnc,10,2,25,3212,374,-7.025332328519652,45.36424501374621
mdgnc,10,2,25,3302,464,-7.605502158078243,49.78713886008225
mdgnc,10,2,25,3522,513,-3.8261138826488126,31.105599911251662
mdgnc,10,2,25,3742,574,-7.726639649617658,48.57575019823183
mdgnc,10,2,25,3842,674,-7.486427375193363,45.0470497436931
mdgnc,10,2,25,3942,763,-7.537718040691994,61.48654004542298
mdgnc,10,2,25,4032,853,-8.065544293502208,57.99275728067275
mdgnc,10,2,25,4132,953,-7.16536057382811,49.08843573986628
mdgnc,10,2,25,4222,1043,-7.053226975012277,38.86818128281643
mdgnc,10,2,25,4322,1143,-7.41039167831,57.47716931746798
mdgnc,10,2,25,4412,1233,-7.4096782023598,52.53204279903064
mdgnc,10,2,25,4512,1333,-3.881265536691188,51.765979981209135
mdgnc,10,2,25,4602,1423,-3.886195901653821,42.10382706913804
mdgnc,10,2,25,4702,1523,-7.695555968822919,49.87897407137776
mdgnc,10,2,25,4792,1613,-7.775365719818915,58.62201267685776
mdgnc,10,2,25,4892,1713,-10.861381547016542,61.75171426209685
mdgnc,10,2,25,4992,1813,-10.695671918760846,57.81716351288166
