problem,model,cv_folds,fold,budget,split,target,rmse,nrmse,mae,r2,n_valid
mdgnc,MG LdWLOA,10,0,25,train,f0,4.263277971336496e-13,1.987199291730859e-13,3.064393183649372e-13,1.0,25
mdgnc,MG LdWLOA,10,0,25,train,f1,1.0271776934329125e-12,1.1647577281709925e-13,8.348877145181177e-13,1.0,25
mdgnc,MG LdWLOA,10,0,25,test,f0,0.5129853968497223,0.264632449622789,0.3670489494852503,0.929969666606642,4500
mdgnc,MG LdWLOA,10,0,25,test,f1,5.882919957229321,0.5119145859658668,4.678565240765178,0.7379434566753952,4500
mdgnc,MG LdWLOA,10,0,50,train,f0,1.0602580584178106e-12,5.193048275509768e-13,7.831069126496006e-13,1.0,50
mdgnc,MG LdWLOA,10,0,50,train,f1,2.0011757827045288e-12,2.118198093681315e-13,1.5820234011698633e-12,1.0,50
mdgnc,MG LdWLOA,10,0,50,test,f0,0.4780967251151853,0.2466345207891528,0.3415839075952174,0.9391714131551048,4500
mdgnc,MG LdWLOA,10,0,50,test,f1,3.415800920926058,0.2972330623041873,2.63945894033854,0.9116525066732752,4500
mdgnc,MG LdWLOA,10,0,75,train,f0,2.9413781642627294e-12,1.3699771708115877e-12,1.6577139660967078e-12,1.0,75
mdgnc,MG LdWLOA,10,0,75,train,f1,6.069772548913742e-11,6.4594044101073924e-12,4.8514200064649526e-11,1.0,75
mdgnc,MG LdWLOA,10,0,75,test,f0,0.3588998244909125,0.1851447240164662,0.2422401743359168,0.9657214311688666,4500
mdgnc,MG LdWLOA,10,0,75,test,f1,1.588630334818064,0.1382379916799376,1.198045219149738,0.9808902576562976,4500
mdgnc,MG LdWLOA,10,0,100,train,f0,1.6271326177180117e-12,7.832419540112603e-13,1.2467582521935582e-12,1.0,100
mdgnc,MG LdWLOA,10,0,100,train,f1,2.5638445213302454e-12,2.726108584720164e-13,2.035207558037655e-12,1.0,100
mdgnc,MG LdWLOA,10,0,100,test,f0,0.3038208203159633,0.1567312606174865,0.1969384266801155,0.9754353119452536,4500
mdgnc,MG LdWLOA,10,0,100,test,f1,2.534225812810977,0.2205209601934031,1.8558897383196349,0.9513705061153797,4500
mdgnc,MG LdWLOA,10,0,125,train,f0,1.2748254230305273e-12,5.90379646215927e-13,9.669420819591324e-13,1.0,125
mdgnc,MG LdWLOA,10,0,125,train,f1,3.5996945362679187e-12,3.7632813188066913e-13,2.448274472044432e-12,1.0,125
mdgnc,MG LdWLOA,10,0,125,test,f0,0.2745151139894222,0.1416134017062113,0.1452785669173052,0.9799456444571952,4500
