problem,cv_folds,fold,budget,sample_id,discrete_arch_id,f0,f1
mdgnc,10,0,25,0,0,-3.5822667210049586,21.47293908650761
mdgnc,10,0,25,1320,9,-3.880441019228899,38.17872145672413
mdgnc,10,0,25,1660,25,-3.7620481714187486,42.92758077203407
mdgnc,10,0,25,2450,61,-3.8584135066988487,32.08714225332049
mdgnc,10,0,25,2680,156,-3.911216724990457,49.35974204507044
mdgnc,10,0,25,2770,246,-3.7557151798601,40.06040808701104
mdgnc,10,0,25,2990,288,-7.260659591631531,46.479657216614186
mdgnc,10,0,25,3090,290,-7.018561660845115,38.83096453882362
mdgnc,10,0,25,3200,362,-7.074488241170815,53.13948503732333
mdgnc,10,0,25,3300,462,-7.485941274647621,45.52693147882097
mdgnc,10,0,25,3510,502,-3.979366648236109,38.47091359165291
mdgnc,10,0,25,3740,572,-7.469184469712137,45.074542851750216
mdgnc,10,0,25,3840,672,-7.25296064827018,50.31531655422668
mdgnc,10,0,25,3930,751,-8.087155815639482,50.59970289994066
mdgnc,10,0,25,4030,851,-8.156854442096424,54.45872448204703
mdgnc,10,0,25,4120,941,-7.307890162985287,49.0424472288147
mdgnc,10,0,25,4220,1041,-7.604566886636235,57.47690932537368
mdgnc,10,0,25,4310,1131,-7.4377892204540705,53.82212753049816
mdgnc,10,0,25,4410,1231,-7.3701197756905135,54.24177020276491
mdgnc,10,0,25,4510,1331,-3.89173785330026,48.09168737345331
mdgnc,10,0,25,4600,1421,-3.824255601064229,44.98904749705447
mdgnc,10,0,25,4700,1521,-7.631442327479261,60.4621591808965
mdgnc,10,0,25,4790,1611,-7.500815907506,50.60764100613042
mdgnc,10,0,25,4890,1711,-10.88751324301636,60.48406415027006
mdgnc,10,0,25,4990,1811,-10.604879939140387,55.162776522367615
mdgnc,10,0,50,0,0,-3.5822667210049586,21.47293908650761
mdgnc,10,0,50,740,4,-4.1783539587984695,39.41608151866976
mdgnc,10,0,50,1320,9,-3.880441019228899,38.17872145672413
mdgnc,10,0,50,1490,23,-3.8005626692099534,33.39293847478248
mdgnc,10,0,50,1530,38,-3.890525302433802,45.66851822097152
mdgnc,10,0,50,2230,42,-3.700159340779449,29.82381861667629
mdgnc,10,0,50,2450,61,-3.8584135066988487,32.08714225332049
mdgnc,10,0,50,2620,96,-3.7943109206148056,53.00606594927342
mdgnc,10,0,50,2670,146,-3.877336612454452,58.303444289371335
mdgnc,10,0,50,2720,196,-3.773448761112148,53.53962972497476
mdgnc,10,0,50,2760,236,-3.853472894261748,54.19779624984587
mdgnc,10,0,50,2810,258,-4.085165025659454,34.272236727572576
mdgnc,10,0,50,2980,278,-7.045328055679498,43.62444287652839
mdgnc,10,0,50,3030,279,-6.900945591768708,39.6421703130338
mdgnc,10,0,50,3070,270,-7.1669021502830335,32.97617618457399
mdgnc,10,0,50,3130,297,-7.226116517576483,37.35017120098907
mdgnc,10,0,50,3190,352,-7.256444231288012,46.84149606833756
mdgnc,10,0,50,3230,392,-7.195991641424049,46.75412312636129
mdgnc,10,0,50,3280,442,-7.446909892970382,49.43174184223611
mdgnc,10,0,50,3330,364,-7.310017014618983,40.68343115796152
mdgnc,10,0,50,3370,496,-4.0808014175736185,36.97278531712613
mdgnc,10,0,50,3540,531,-3.951501786913968,44.20804273474874
mdgnc,10,0,50,3720,552,-7.272986388764997,44.29894157007763
mdgnc,10,0,50,3760,592,-7.303550607338415,45.84158405491637
mdgnc,10,0,50,3810,642,-7.225875698643501,37.2676493379647
mdgnc,10,0,50,3860,692,-7.472489285164675,43.05399041383704
mdgnc,10,0,50,3910,731,-7.693699929609049,43.337712178377565
mdgnc,10,0,50,3950,771,-8.134669394796374,54.06187814357904
mdgnc,10,0,50,4000,821,-8.31413955450345,62.287166965478576
mdgnc,10,0,50,4050,871,-7.671931021960078,44.8773298029887
mdgnc,10,0,50,4090,911,-7.398164339427724,51.29118013375664
mdgnc,10,0,50,4140,961,-7.071210769995786,49.04677070148785
mdgnc,10,0,50,4190,1011,-7.354860085099008,42.37669089913712
mdgnc,10,0,50,4230,1051,-7.505978710072223,48.75854379937053
mdgnc,10,0,50,4280,1101,-7.320472938427577,55.644179174379005
mdgnc,10,0,50,4330,1151,-7.765625082353336,56.8070395223038
mdgnc,10,0,50,4370,1191,-7.488517219542643,55.76718850513839
mdgnc,10,0,50,4420,1241,-7.53155047037752,58.26247844605195
mdgnc,10,0,50,4470,1291,-3.989041220154086,45.1353472502025
mdgnc,10,0,50,4520,1341,-3.8401302312244487,47.39034273786877
mdgnc,10,0,50,4560,1381,-3.942890600871923,51.58393481007364
mdgnc,10,0,50,4610,1431,-4.044942600364616,47.41221908242138
mdgnc,10,0,50,4660,1481,-8.12640650974427,57.62635359568423
mdgnc,10,0,50,4700,1521,-7.631442327479261,60.4621591808965
mdgnc,10,0,50,4750,1571,-7.744087429228814,52.305994276039264
mdgnc,10,0,50,4800,1621,-8.047252585079695,63.960525557905015
mdgnc,10,0,50,4840,1661,-10.672418082494012,60.20277269125891
mdgnc,10,0,50,4890,1711,-10.88751324301636,60.48406415027006
mdgnc,10,0,50,4940,1761,-8.050991151233628,59.11651448447529
mdgnc,10,0,50,4990,1811,-10.604879939140387,55.162776522367615
mdgnc,10,0,75,0,0,-3.5822667210049586,21.47293908650761
mdgnc,10,0,75,560,3,-3.766084785832452,34.51031328613395
mdgnc,10,0,75,1120,6,-4.694677897143437,47.38947290126352
mdgnc,10,0,75,1320,9,-3.880441019228899,38.17872145672413
mdgnc,10,0,75,1350,11,-3.784436102516428,28.56489900463953
mdgnc,10,0,75,1500,33,-3.741953525962008,40.79386178935531
mdgnc,10,0,75,1530,38,-3.890525302433802,45.66851822097152
mdgnc,10,0,75,1860,40,-4.145264583527632,41.6872568063027
mdgnc,10,0,75,2410,46,-3.716358446025671,39.1372916736643
mdgnc,10,0,75,2440,51,-3.6989908522965593,41.84191275693138
mdgnc,10,0,75,2610,86,-3.8791327821044654,43.41253690220405
mdgnc,10,0,75,2640,116,-3.785978988324554,49.12801112959909
mdgnc,10,0,75,2670,146,-3.877336612454452,58.303444289371335
mdgnc,10,0,75,2700,176,-3.762634733599464,47.482221736888185
mdgnc,10,0,75,2730,206,-3.8663754058996775,52.63767979815298
mdgnc,10,0,75,2760,236,-3.853472894261748,54.19779624984587
mdgnc,10,0,75,2790,259,-3.8855648894067305,28.66197332005541
mdgnc,10,0,75,2820,254,-4.241755490016224,35.58566366514775
mdgnc,10,0,75,2970,268,-7.067613970717196,40.90617431832881
mdgnc,10,0,75,3010,308,-7.12639965955307,39.00378559729846
mdgnc,10,0,75,3040,289,-6.962638879346519,38.21483560511721
mdgnc,10,0,75,3070,270,-7.1669021502830335,32.97617618457399
mdgnc,10,0,75,3100,300,-7.149279361264455,45.44847218542507
mdgnc,10,0,75,3150,312,-7.0760451215941735,51.65383591114506
mdgnc,10,0,75,3180,342,-7.38281402174015,42.92077143448465
mdgnc,10,0,75,3210,372,-7.061400339414441,49.762567008050006
mdgnc,10,0,75,3240,402,-7.420281141449717,46.318781357223806
mdgnc,10,0,75,3270,432,-7.238953242133789,47.4427817619968
mdgnc,10,0,75,3310,472,-7.278736536189382,49.4301887048295
mdgnc,10,0,75,3340,491,-3.8303193874058383,31.094216314618983
mdgnc,10,0,75,3370,496,-4.0808014175736185,36.97278531712613
mdgnc,10,0,75,3520,511,-3.879302628484373,43.036566354013736
mdgnc,10,0,75,3550,516,-4.002902003750029,37.39187908574628
mdgnc,10,0,75,3710,542,-7.206504455059779,41.59513368398202
mdgnc,10,0,75,3740,572,-7.469184469712137,45.074542851750216
mdgnc,10,0,75,3770,602,-7.356986636889509,41.757493421644384
mdgnc,10,0,75,3800,632,-7.633168843630887,50.037189288365866
mdgnc,10,0,75,3830,662,-7.089882829812088,45.97236297978151
mdgnc,10,0,75,3870,702,-7.551840745683046,47.05862967791861
mdgnc,10,0,75,3900,721,-8.34590902214596,62.33170614304937
mdgnc,10,0,75,3930,751,-8.087155815639482,50.59970289994066
mdgnc,10,0,75,3960,781,-8.417471043227925,57.84507698716685
mdgnc,10,0,75,3990,811,-7.49038397391813,56.25279959223663
mdgnc,10,0,75,4020,841,-8.25240561280284,55.98539073503984
mdgnc,10,0,75,4050,871,-7.671931021960078,44.8773298029887
mdgnc,10,0,75,4080,901,-7.256759147078474,54.1692455449184
mdgnc,10,0,75,4110,931,-7.098777518766451,44.97089147942226
mdgnc,10,0,75,4150,971,-7.378607990044805,39.02660293939344
mdgnc,10,0,75,4180,1001,-7.205252641105591,41.41446708262471
mdgnc,10,0,75,4210,1031,-7.132447147679245,40.73718660466682
mdgnc,10,0,75,4240,1061,-7.422056783962174,45.4489966338875
mdgnc,10,0,75,4270,1091,-7.675136457088936,55.01635914199759
mdgnc,10,0,75,4300,1121,-7.270553534566353,60.35084209112614
mdgnc,10,0,75,4330,1151,-7.765625082353336,56.8070395223038
mdgnc,10,0,75,4360,1181,-7.052735147186994,54.07742668365786
mdgnc,10,0,75,4390,1211,-7.421742028130684,60.44711105690333
mdgnc,10,0,75,4430,1251,-7.329471608679415,51.80252788739016
mdgnc,10,0,75,4460,1281,-3.8307226281094695,44.00297544720473
mdgnc,10,0,75,4490,1311,-3.91104964690558,49.96319923783042
mdgnc,10,0,75,4520,1341,-3.8401302312244487,47.39034273786877
mdgnc,10,0,75,4550,1371,-3.825289768384453,52.62654893425266
mdgnc,10,0,75,4580,1401,-3.9709300226089024,44.77388693898692
mdgnc,10,0,75,4610,1431,-4.044942600364616,47.41221908242138
mdgnc,10,0,75,4640,1461,-7.708205965228023,59.378227970056656
mdgnc,10,0,75,4670,1491,-7.79115483791133,60.34627821209808
mdgnc,10,0,75,4710,1531,-7.803915218104001,58.29204646807237
mdgnc,10,0,75,4740,1561,-7.806414674338185,53.15642581161504
mdgnc,10,0,75,4770,1591,-7.944983455057042,55.883616783281134
mdgnc,10,0,75,4800,1621,-8.047252585079695,63.960525557905015
mdgnc,10,0,75,4830,1651,-10.690154948323766,60.11692863588448
mdgnc,10,0,75,4860,1681,-11.018917008745348,66.59954092389928
mdgnc,10,0,75,4890,1711,-10.88751324301636,60.48406415027006
mdgnc,10,0,75,4920,1741,-10.610676343367128,63.52836309012381
mdgnc,10,0,75,4950,1771,-10.9990155627114,65.09079419412583
mdgnc,10,0,75,4990,1811,-10.604879939140387,55.162776522367615
mdgnc,10,0,100,0,0,-3.5822667210049586,21.47293908650761
mdgnc,10,0,100,380,2,-3.705589613005809,29.47913276061134
mdgnc,10,0,100,740,4,-4.1783539587984695,39.41608151866976
mdgnc,10,0,100,1120,6,-4.694677897143437,47.38947290126352
mdgnc,10,0,100,1320,9,-3.880441019228899,38.17872145672413
mdgnc,10,0,100,1340,8,-3.7105917913804487,38.17411870672507
mdgnc,10,0,100,1360,7,-3.765061257526556,36.542591769904064
mdgnc,10,0,100,1510,18,-3.781066023951792,33.71952275408334
mdgnc,10,0,100,1530,38,-3.890525302433802,45.66851822097152
mdgnc,10,0,100,1670,39,-3.8178543021815647,29.958148254482484
mdgnc,10,0,100,2230,42,-3.700159340779449,29.82381861667629
mdgnc,10,0,100,2420,56,-3.755269496613112,42.87724286876789
mdgnc,10,0,100,2440,51,-3.6989908522965593,41.84191275693138
mdgnc,10,0,100,2600,76,-3.700531431819345,49.72023977258698
mdgnc,10,0,100,2620,96,-3.7943109206148056,53.00606594927342
mdgnc,10,0,100,2640,116,-3.785978988324554,49.12801112959909
mdgnc,10,0,100,2670,146,-3.877336612454452,58.303444289371335
mdgnc,10,0,100,2690,166,-3.825253845224319,40.153949264341925
mdgnc,10,0,100,2710,186,-3.712579538032292,40.563666956553874
mdgnc,10,0,100,2740,216,-3.699218970777513,44.92217901967393
mdgnc,10,0,100,2760,236,-3.853472894261748,54.19779624984587
