problem,model,cv_folds,fold,budget,weight_name,weight_value
mdgnc_edge_failures,ESP + EW,10,4,150,f0_failure_rate.graph_0.esp_semantic_type,0.0034414166725005835
mdgnc_edge_failures,ESP + EW,10,4,150,f0_failure_rate.graph_1.edge_weight,0.10670618504465515
mdgnc_edge_failures,ESP + EW,10,4,150,f0_failure_rate.sizing,0.15855764224868923
mdgnc_edge_failures,ESP + EW,10,4,150,f0_failure_rate.interaction.graph_0_esp_semantic_type_graph_1_edge_weight,0.26114648053915285
mdgnc_edge_failures,ESP + EW,10,4,150,f0_failure_rate.interaction.graph_0_esp_semantic_type_sizing,0.14275902074265212
mdgnc_edge_failures,ESP + EW,10,4,150,f0_failure_rate.interaction.graph_1_edge_weight_sizing,0.3273892547523501
mdgnc_edge_failures,ESP + EW,10,4,150,f1_mass.graph_0.esp_semantic_type,0.0030762372519877223
mdgnc_edge_failures,ESP + EW,10,4,150,f1_mass.graph_1.edge_weight,0.23752269305695523
mdgnc_edge_failures,ESP + EW,10,4,150,f1_mass.sizing,0.17118114435553575
mdgnc_edge_failures,ESP + EW,10,4,150,f1_mass.interaction.graph_0_esp_semantic_type_graph_1_edge_weight,0.2780221565178812
mdgnc_edge_failures,ESP + EW,10,4,150,f1_mass.interaction.graph_0_esp_semantic_type_sizing,0.055274493867793664
mdgnc_edge_failures,ESP + EW,10,4,150,f1_mass.interaction.graph_1_edge_weight_sizing,0.2549232749498463
