problem,model,cv_folds,fold,budget,split,target,rmse,nrmse,mae,r2,n_valid
mdgnc_edge_failures,Hierarchical,10,0,25,train,f0,2.689424803432392e-12,1.4387855092676712e-12,1.3813128418860288e-12,1.0,25
mdgnc_edge_failures,Hierarchical,10,0,25,train,f1,4.437519320859189e-12,3.7035358030716913e-13,2.4860469238774385e-12,1.0,25
mdgnc_edge_failures,Hierarchical,10,0,25,test,f0,1.8602270250214887,0.989529917940331,1.0438004359481474,0.020830541501002,4500
mdgnc_edge_failures,Hierarchical,10,0,25,test,f1,8.728144354548299,0.6928961574009604,7.094130662299698,0.5198949150589833,4500
mdgnc_edge_failures,Hierarchical,10,0,50,train,f0,2.873289996606314e-13,1.5346570432018437e-13,1.9415580254644737e-13,1.0,50
mdgnc_edge_failures,Hierarchical,10,0,50,train,f1,4.838396920679923e-13,4.6459243117327165e-14,3.4241054436279226e-13,1.0,50
mdgnc_edge_failures,Hierarchical,10,0,50,test,f0,0.746837364394432,0.3972729704297563,0.3777784280157356,0.842174186965918,4500
mdgnc_edge_failures,Hierarchical,10,0,50,test,f1,6.740094182703745,0.5350719660453742,5.209137579947852,0.7136979911523378,4500
mdgnc_edge_failures,Hierarchical,10,0,75,train,f0,7.116798248665269e-13,3.361992432887852e-13,4.711786516509164e-13,1.0,75
mdgnc_edge_failures,Hierarchical,10,0,75,train,f1,1.2999020902644373e-12,1.0998292969988928e-13,1.0118602252381e-12,1.0,75
mdgnc_edge_failures,Hierarchical,10,0,75,test,f0,0.2892761624083149,0.1538776791218196,0.1932441321846036,0.9763216598680824,4500
mdgnc_edge_failures,Hierarchical,10,0,75,test,f1,3.712318993283663,0.2947077249189209,2.9892472226641837,0.9131473568731135,4500
mdgnc_edge_failures,Hierarchical,10,0,100,train,f0,6.877732349384998e-13,3.803182349871789e-13,4.0160319514370724e-13,1.0,100
mdgnc_edge_failures,Hierarchical,10,0,100,train,f1,1.2056364057741753e-12,1.0511291367863548e-13,8.748912705414113e-13,1.0,100
mdgnc_edge_failures,Hierarchical,10,0,100,test,f0,0.5251984022027065,0.2793742510154284,0.2195868798269415,0.9219500278695684,4500
mdgnc_edge_failures,Hierarchical,10,0,100,test,f1,4.260472500598604,0.3382236709729591,3.119092343395998,0.8856047483935755,4500
mdgnc_edge_failures,Hierarchical,10,0,125,train,f0,2.381417328089939e-12,1.1830864704704146e-12,1.4696013295178998e-12,1.0,125
mdgnc_edge_failures,Hierarchical,10,0,125,train,f1,1.7740700630800537e-12,1.3538453737336664e-13,1.2257999060238944e-12,1.0,125
mdgnc_edge_failures,Hierarchical,10,0,125,test,f0,1.0073865786912988,0.5358696251255013,0.6438328744793562,0.7128437448678547,4500
mdgnc_edge_failures,Hierarchical,10,0,125,test,f1,4.80447319523123,0.3814099400838699,3.834887753746175,0.8545264576052187,4500
mdgnc_edge_failures,Hierarchical,10,0,150,train,f0,2.6662261350397454e-13,1.3654327181299736e-13,1.4645766081381832e-13,1.0,150
mdgnc_edge_failures,Hierarchical,10,0,150,train,f1,7.816083133433449e-13,6.585577779067254e-14,5.566391791944625e-13,1.0,150
mdgnc_edge_failures,Hierarchical,10,0,150,test,f0,0.5746820060074987,0.3056965792870448,0.2752790051886753,0.9065496014121996,4500
mdgnc_edge_failures,Hierarchical,10,0,150,test,f1,7.731978118139733,0.6138140834455289,5.908756554861158,0.6232322709639253,4500
mdgnc_edge_failures,Hierarchical,10,0,175,train,f0,4.830732042750905e-13,2.924676041744848e-13,3.18082068620892e-13,1.0,175
mdgnc_edge_failures,Hierarchical,10,0,175,train,f1,7.13924989738332e-13,6.568799081010641e-14,5.176405336117438e-13,1.0,175
mdgnc_edge_failures,Hierarchical,10,0,175,test,f0,0.6114054352910994,0.3252312551500992,0.2790381486112548,0.8942246306734911,4500
mdgnc_edge_failures,Hierarchical,10,0,175,test,f1,6.264828769745971,0.4973423450621446,4.6028186754521565,0.7526505918080867,4500
mdgnc_edge_failures,Hierarchical,10,0,200,train,f0,4.899537827545617e-13,2.48115999055448e-13,3.138578286154825e-13,1.0,200
mdgnc_edge_failures,Hierarchical,10,0,200,train,f1,4.184706892209709e-13,3.5911722323958126e-14,2.887823313812987e-13,1.0,200
mdgnc_edge_failures,Hierarchical,10,0,200,test,f0,0.5367958746743136,0.2855434152243034,0.2436773544792271,0.9184649580220412,4500
mdgnc_edge_failures,Hierarchical,10,0,200,test,f1,4.262398694522399,0.3383765846180583,3.36953289258213,0.885501286982218,4500
mdgnc_edge_failures,Hierarchical,10,0,225,train,f0,9.815523360255e-13,5.121335649691811e-13,6.57615196865259e-13,1.0,225
mdgnc_edge_failures,Hierarchical,10,0,225,train,f1,9.9709696946657e-13,8.103515463461261e-14,5.138960861788493e-13,1.0,225
mdgnc_edge_failures,Hierarchical,10,0,225,test,f0,0.7241394761565887,0.3851990465573985,0.2998134759958739,0.8516216945312711,4500
mdgnc_edge_failures,Hierarchical,10,0,225,test,f1,5.216753719477071,0.4141394160660508,4.089422270711329,0.8284885440604705,4500
mdgnc_edge_failures,Hierarchical,10,0,250,train,f0,2.702937467641056e-13,1.3803877415906378e-13,1.636255575476753e-13,1.0,250
mdgnc_edge_failures,Hierarchical,10,0,250,train,f1,5.218357683298797e-12,4.3901797134820795e-13,3.634056611190317e-12,1.0,250
mdgnc_edge_failures,Hierarchical,10,0,250,test,f0,0.3358919123401688,0.1786744800414608,0.1724214970188991,0.9680754301819136,4500
mdgnc_edge_failures,Hierarchical,10,0,250,test,f1,3.979615380302904,0.3159274288937158,3.0878455392408557,0.9001898596726061,4500
mdgnc_edge_failures,Hierarchical,10,0,275,train,f0,4.858015893954006e-13,2.423091963680196e-13,2.957666434998497e-13,1.0,275
mdgnc_edge_failures,Hierarchical,10,0,275,train,f1,8.943900959565715e-13,7.334429864640892e-14,6.831028672009283e-13,1.0,275
mdgnc_edge_failures,Hierarchical,10,0,275,test,f0,0.2726041709152544,0.1450091732071506,0.1433332022383455,0.9789723396857786,4500
mdgnc_edge_failures,Hierarchical,10,0,275,test,f1,2.35240958606424,0.1867493818394174,1.761020305423541,0.9651246683825956,4500
mdgnc_edge_failures,Hierarchical,10,0,300,train,f0,8.74895994920001e-13,4.67901890877117e-13,4.422314366555232e-13,1.0,300
mdgnc_edge_failures,Hierarchical,10,0,300,train,f1,4.441706466862949e-12,3.773561459118483e-13,2.749989865454457e-12,1.0,300
mdgnc_edge_failures,Hierarchical,10,0,300,test,f0,0.2895785302281147,0.1540385207824824,0.1688213192347718,0.9762721341151448,4500
mdgnc_edge_failures,Hierarchical,10,0,300,test,f1,1.5020882438309802,0.1192454123063717,1.0842205888082157,0.9857805316438834,4500
mdgnc_edge_failures,Hierarchical,10,1,25,train,f0,9.45147577561627e-13,5.019604463970552e-13,6.164313504086749e-13,1.0,25
mdgnc_edge_failures,Hierarchical,10,1,25,train,f1,3.497465728634701e-13,3.4969737511199277e-14,2.781064267765032e-13,1.0,25
