n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.esp_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.g0_jet_mach.graph_0.esp_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g1_pr.graph_0.esp_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g2_pr.graph_0.esp_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g3_pr.graph_0.esp_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g4_pr_perc_sum.graph_0.esp_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_diagnostics.f0_tsfc.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_jet_mach.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g3_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g4_pr_perc_sum.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
75,0.7465628699146327,1.0,0.0,0.0,7.3866810180740625,6.64011814815943,75,7.3866810180740625,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0,52,9542.000557422638
85,0.5101857599900699,0.6833794989675928,8.416897494837963,6.283743149523513,7.1503039081495,6.64011814815943,85,7.1503039081495,28.0,,,57.38265666086227,318.71059452183545,278.2910068547353,6407,0.043435462284179,0.0262727929928454,0.9737272070071544,0.0330692178000135,0.9669307821999864,0.0650129394612047,0.9349870605387952,0.0099009900990099,0.99009900990099,0.9861285745592616,0.0138714254407383,0.8293603372155797,0.1706396627844203,20.000000000000004,20.00000000000001,0.3588671956737297,20.000000000000004,0.000101719182324,0.0001000109569085,0,52,9542.000557422638
95,0.5101857599900699,0.6833794989675928,15.250692484513891,11.385600749424212,7.1503039081495,6.64011814815943,95,7.1503039081495,38.0,,,65.18088281713426,387.25965724512935,625.0824746824801,12830,0.0487203799440748,0.8956206607999484,0.1043793392000514,0.0110688340320455,0.9889311659679544,0.6026806562592335,0.3973193437407665,0.5141704436412807,0.4858295563587194,0.9899778125742924,0.0100221874257077,0.8797011656699735,0.1202988343300266,19.999999999999996,0.0272374571737072,20.000000000000004,20.000000000000004,6.105077640061962,19.999999999999996,0,52,9542.000557422638
105,0.4098770986883142,0.5490188639239217,21.412684298971463,15.985915042816131,7.049995246847744,6.64011814815943,105,7.049995246847744,41.0,,,72.56077747326344,240.377894917503,851.0932666873559,18229,0.0466889717860198,0.8782741180063901,0.1217258819936099,0.7487496455824812,0.2512503544175187,0.5973402201377526,0.4026597798622474,0.187495847987595,0.812504152012405,0.9574052036000272,0.0425947963999729,0.8301581980705833,0.1698418019294167,20.000000000000004,19.999999999999996,20.00000000000001,14.977367721521464,0.0002360404771237,20.000000000000004,0,52,9542.000557422638
115,0.2580852512704918,0.3456979467784182,25.886268352483164,19.32572679261016,6.898203399429922,6.64011814815943,115,6.898203399429922,47.0,,,70.41211842931807,260.8330877069384,1100.5528594441712,23517,0.0467981825676817,0.2448975753341723,0.7551024246658278,0.0268162208890528,0.9731837791109472,0.2315848066259181,0.7684151933740819,0.4964950996707727,0.5035049003292273,0.9889359499983637,0.0110640500016364,0.5482870878616108,0.4517129121383892,0.0003196036061031,19.99999999999996,0.0001,20.000000000000004,18.325520592972687,13.253360633172464,0,52,9542.000557422638
125,0.2580852512704918,0.3456979467784182,29.343247820267347,21.90657930531508,6.898203399429922,6.64011814815943,125,6.898203399429922,57.0,,,75.81941303424537,286.39230660256,1370.995568966493,28987,0.04729691133841,0.308158448273434,0.691841551726566,0.0122813031832544,0.9877186968167456,0.2608839277061663,0.7391160722938336,0.121966112204661,0.8780338877953389,0.9693064408649998,0.0306935591350002,0.8711916379378645,0.1288083620621355,0.0001390071035506,20.000000000000004,0.0003932453743805,0.0003090570579273,17.636112244382353,0.0001897114881699,0,52,9542.000557422638
135,0.2580852512704918,0.3456979467784182,32.80022728805153,24.48743181802,6.898203399429922,6.64011814815943,135,6.898203399429922,67.0,,,76.36403503175825,272.495035382919,1631.5564795741811,34302,0.0475644708639199,0.8994655000763135,0.1005344999236863,0.0109974386502762,0.9890025613497238,0.758619494197862,0.2413805058021378,0.1992693434396191,0.8007306565603809,0.9028607487707188,0.0971392512292813,0.2689843357939754,0.7310156642060246,20.000000000000004,20.000000000000004,20.000000000000032,0.0061415670320825,6.395559434682099,0.0001778697701717,0,52,9542.000557422638
145,0.2475447487431932,0.3315792396312171,36.18661322009971,27.015581818088425,6.887662896902623,6.64011814815943,145,6.887662896902623,77.0,,,83.14277777913958,278.56943513453007,1896.7597099794075,39674,0.0478086331093262,0.9300689446109196,0.0699310553890804,0.0109761393368195,0.9890238606631804,0.7081880720027907,0.2918119279972092,0.0194890447147249,0.9805109552852752,0.9864647888896692,0.0135352111103307,0.3177720146729604,0.6822279853270395,20.000000000000004,19.999999999999996,19.906729292892383,0.0007160843628932,19.05698666572909,0.0001181741630761,0,52,9542.000557422638
155,0.2357572972139943,0.3157902793115769,39.42346081481368,29.432092047874363,6.875875445373424,6.64011814815943,155,6.875875445373424,87.0,,,90.8933532414958,275.1793981473893,2158.5800403598696,45047,0.0479183972375489,0.8145089831259085,0.1854910168740915,0.0102953513638208,0.9897046486361792,0.8169998007332306,0.1830001992667694,0.0195857798300193,0.9804142201699808,0.868855836418671,0.131144163581329,0.3651605007347758,0.6348394992652243,0.0004169580092326,20.000000000000032,0.0230265986091079,0.0007356611627929,0.0356793925375677,0.0001,0,52,9542.000557422638
165,0.2343758710554437,0.313939897764061,42.57211170019187,31.782757889221557,6.874494019214874,6.64011814815943,165,6.874494019214874,97.0,,,97.18228146713228,269.09914023336023,2416.011042636819,50354,0.0479805187797755,0.9223588466583108,0.077641153341689,0.0124593924370755,0.9875406075629244,0.7709222025433529,0.2290777974566471,0.6310065049271569,0.368993495072843,0.8646485371782299,0.1353514628217701,0.8517161137304595,0.1482838862695403,20.000000000000004,20.00000000000001,19.806778206506017,18.6695764918346,0.0001007295337323,0.0001292225580954,0,52,9542.000557422638
175,0.2058413031932575,0.2757186453925774,45.52040441597506,33.983843760465064,6.845959451352687,6.64011814815943,175,6.845959451352687,107.0,,,105.6359670748934,276.031049025245,2679.7715064315125,55686,0.0481228945593418,0.900481396154714,0.0995186038452859,0.0110345553072147,0.9889654446927852,0.7912389936757966,0.2087610063242032,0.4761913382742063,0.5238086617257938,0.0338261655703888,0.9661738344296112,0.8803877355834671,0.1196122644165328,20.000000000000004,20.000000000000004,20.000000000000025,13.980332012237026,6.018770955012512,0.0001,0,52,9542.000557422638
185,0.1643069312620015,0.2200845205183986,47.99942024552994,35.83458493274136,6.804425079421431,6.64011814815943,185,6.804425079421431,117.0,,,113.51439857948571,262.80755666363984,2930.951612248085,60798,0.0482080267812771,0.89117816422362,0.1088218357763801,0.0263092328669262,0.9736907671330738,0.8234295532650386,0.1765704467349612,0.2996888345894818,0.7003111654105181,0.0281292598075456,0.9718707401924545,0.8708607182819403,0.1291392817180597,19.999999999999996,20.000000000000004,20.000000000000004,12.435233423726324,6.363066294059152,0.0001992615876772,0,52,9542.000557422638
195,0.1354228109284525,0.1813950524273163,50.006818110258514,37.33323364369363,6.775540959087882,6.64011814815943,195,6.775540959087882,127.0,,,122.2597382729873,285.5944911390543,3203.2307452633977,66172,0.0484076459116151,0.9200822005742044,0.0799177994257956,0.0109274690408867,0.9890725309591132,0.8342371691467982,0.1657628308532016,0.4160083902186066,0.5839916097813935,0.9158994585113472,0.0841005414886527,0.9213506210222426,0.0786493789777573,20.000000000000004,20.000000000000004,18.328239498065457,14.708953349550358,0.0002564893998987,0.0001641137713525,0,52,9542.000557422638
205,0.1354228109284525,0.1813950524273163,51.82076863453168,38.68746175297816,6.775540959087882,6.64011814815943,205,6.775540959087882,137.0,,,128.04896028339863,244.0348250893876,3436.374315191992,70772,0.0485555631491549,0.9154101844891812,0.0845898155108188,0.0258975293090196,0.9741024706909804,0.1790393980203313,0.8209606019796687,0.4185067620719027,0.5814932379280972,0.4444084831985873,0.5555915168014126,0.9513786215789732,0.0486213784210269,20.000000000000004,20.00000000000001,0.0007044278558568,0.4989026674541686,0.0039486163002292,20.000000000000064,0,52,9542.000557422638
215,0.1354228109284525,0.1813950524273163,53.63471915880484,40.041689862262686,6.775540959087882,6.64011814815943,215,6.775540959087882,147.0,,,138.56986559182403,311.6705938149244,3732.590942095034,76235,0.0489616441541947,0.9409243551278342,0.0590756448721658,0.0265719173091942,0.9734280826908056,0.813493970916558,0.1865060290834419,0.7124053720528942,0.2875946279471059,0.8992082623236649,0.1007917376763351,0.9434986641726442,0.0565013358273557,19.99999999999995,20.00000000000001,19.999999999999982,13.740328416121589,0.0002083062976963,0.0002167228705403,0,52,9542.000557422638
225,0.0240275661141859,0.0321842500912662,54.702615671397744,40.83894174747588,6.664145714273616,6.64011814815943,225,6.664145714273616,157.0,,,152.34438579156995,294.0922848600894,4012.196879333817,81660,0.0491329522328412,0.8899324208485072,0.1100675791514928,0.0265203086791987,0.9734796913208013,0.8596320718281092,0.1403679281718907,0.6708235450645411,0.3291764549354588,0.0730235736722185,0.9269764263277814,0.952992655058828,0.0470073449411719,20.00000000000001,20.000000000000004,20.000000000000004,13.976847632354358,0.0051859645103072,19.548093546682857,0,52,9542.000557422638
235,0.0240275661141859,0.0321842500912662,55.0244581723104,41.07921740861774,6.664145714273616,6.64011814815943,235,6.664145714273616,166.0,,,155.70590394362807,304.81513491179794,4302.807337121107,87074,0.0494155240039633,0.9022605129094314,0.0977394870905685,0.0122582403292737,0.9877417596707262,0.8968855653814493,0.1031144346185507,0.6611051003333589,0.3388948996666411,0.075514013723231,0.9244859862767688,0.938036140309789,0.061963859690211,20.000000000000004,20.00000000000001,20.000000000000004,13.072713201730975,0.1867107469538285,0.0004275929961566,0,52,9542.000557422638
245,0.0240275661141859,0.0321842500912662,55.34630067322306,41.3194930697596,6.664145714273616,6.64011814815943,245,6.664145714273616,176.0,,,162.32431976590306,127.00098703522237,4425.983190888539,89454,0.0494777560633234,0.9480533208309232,0.0519466791690769,0.0101760925403358,0.9898239074596642,0.9064505952371826,0.0935494047628173,0.722272992470338,0.277727007529662,0.50004116140122,0.4999588385987801,0.9900990099009896,0.0099009900990102,20.00000000000001,20.000000000000004,20.000000000000004,14.791779108861023,0.0001,0.0499145153378032,0,52,9542.000557422638
255,0.0240275661141859,0.0321842500912662,55.66814317413572,41.55976873090145,6.664145714273616,6.64011814815943,255,6.664145714273616,178.0,,,171.0573738394305,279.0455134203657,4695.750285756774,94669,0.0496017733973821,0.934579362257698,0.0654206377423018,0.0109072885651868,0.9890927114348133,0.8528314933819687,0.1471685066180313,0.6232308891461211,0.3767691108538789,0.9639011223138176,0.0360988776861823,0.9397708442578288,0.060229155742171,20.000000000000004,20.000000000000004,19.73964727561404,12.304689917009034,0.0003210326110749,0.0030896146591835,0,52,9542.000557422638
265,0.0240275661141859,0.0321842500912662,55.98998567504838,41.80004439204331,6.664145714273616,6.64011814815943,265,6.664145714273616,184.0,,,169.67310459446162,376.3939299844205,5047.294483329169,100517,0.0502133418558967,0.9354906065518488,0.0645093934481511,0.0109782960402253,0.9890217039597746,0.8836191060262786,0.1163808939737214,0.6702132695145927,0.3297867304854072,0.9490354290175148,0.0509645709824852,0.9393925825614088,0.0606074174385912,20.000000000000004,20.000000000000004,19.999999999999996,11.17842845358955,0.0001070546963711,0.0001166298451846,0,52,9542.000557422638
275,0.0240275661141859,0.0321842500912662,56.31182817596104,42.04032005318517,6.664145714273616,6.64011814815943,275,6.664145714273616,194.0,,,180.96158611774445,340.7709524258971,5369.161909639835,106113,0.0505985309023384,0.9324897509431672,0.0675102490568329,0.0109411431132672,0.9890588568867328,0.900231829916056,0.099768170083944,0.6296938816202239,0.3703061183797762,0.0700878952300688,0.9299121047699312,0.9345972542423344,0.0654027457576654,20.000000000000032,19.67863333846615,20.000000000000004,11.827733225903572,0.0009275938114614,0.0010271170067025,0,52,9542.000557422638
285,0.0235160711546349,0.0314991169562503,56.63024501119863,42.27803823952927,6.663634219314065,6.64011814815943,285,6.663634219314065,201.0,,,195.6897438550368,311.2844434324652,5668.755373107269,111421,0.0508769026764009,0.4695907205472451,0.5304092794527548,0.0122141625434442,0.9877858374565558,0.8483529467038681,0.1516470532961319,0.567074991977245,0.4329250080227549,0.0790714061388228,0.9209285938611772,0.9315654377701572,0.0684345622298427,0.0032005011047625,20.000000000000004,0.0592759928321151,0.0010576359803625,0.0077598626234348,0.0001175421780111,0,52,9542.000557422638
