n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.esp_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.g0_jet_mach.graph_0.esp_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g1_pr.graph_0.esp_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g2_pr.graph_0.esp_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g3_pr.graph_0.esp_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g4_pr_perc_sum.graph_0.esp_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_diagnostics.f0_tsfc.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_jet_mach.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g3_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g4_pr_perc_sum.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
75,1.6564524018675568,1.0,0.0,0.0,8.296570550026987,6.64011814815943,75,8.296570550026987,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,1,53,9348.173952817917
85,1.6564524018675568,1.0,10.0,16.56452401867557,8.296570550026987,6.64011814815943,85,8.296570550026987,31.0,,,55.506465792655945,244.67034205049276,230.319089660421,5408,0.04258858906442696,0.7381460179413686,0.26185398205863136,0.010401487198011749,0.9895985128019883,0.5038910744434743,0.49610892555652564,0.4589973884313556,0.5410026115686444,0.009900990099009896,0.9900990099009901,0.754037336844911,0.24596266315508897,19.217580786421006,20.000000000000004,10.60245096067847,20.000000000000004,20.00000000000033,20.000000000000004,1,53,9348.173952817917
95,1.6564524018675568,1.0,20.0,33.12904803735114,8.296570550026987,6.64011814815943,95,8.296570550026987,41.0,,,59.23146925959736,228.4443261520937,449.5766133768484,10612,0.04236492775884361,0.8099983394452587,0.1900016605547413,0.8676115829818982,0.13238841701810175,0.5074190647363015,0.4925809352636985,0.42348146451468754,0.5765185354853124,0.9900990099009901,0.0099009900990099,0.8084093758454585,0.19159062415454153,19.98447675756987,20.000000000000004,12.860431238110854,18.775403082138094,10.177513561528063,20.000000000000004,1,53,9348.173952817917
105,1.0204411359698504,0.6160401197277752,28.080200598638875,46.513515726538174,7.66055928412928,6.64011814815943,105,7.66055928412928,51.0,,,66.3318313062191,285.4291513580829,719.0859995931387,16083,0.04471093698894104,0.8300844247942403,0.16991557520575978,0.8439984122310394,0.15600158776896048,0.593142989519153,0.406857010480847,0.44993070122344697,0.550069298776553,0.9828136964086324,0.017186303591367705,0.24311951819198963,0.7568804818080104,20.000000000000004,20.000000000000004,20.000000000000004,19.999999999999993,0.00010001530308622864,0.00014338519253132508,1,53,9348.173952817917
115,1.0204411359698504,0.6160401197277752,34.240601795916625,56.71792708623668,7.66055928412928,6.64011814815943,115,7.66055928412928,60.0,,,80.36307376250625,278.0172497071326,983.865335246548,21448,0.04587212491824637,0.7776469252113558,0.22235307478864416,0.6057440698977874,0.39425593010221266,0.3348988844945485,0.6651011155054515,0.033307409839990074,0.96669259016001,0.010497724436964062,0.9895022755630359,0.8378799195714501,0.16212008042854992,20.000000000000004,20.000000000000014,19.999999999999993,13.950875597118001,20.000000000000004,0.00021422189000293738,1,53,9348.173952817917
125,1.0204411359698504,0.6160401197277752,40.401002993194375,66.92233844593518,7.66055928412928,6.64011814815943,125,7.66055928412928,70.0,,,78.7232073424384,282.4456268539652,1250.7654458759353,26904,0.04648994372122864,0.7943432893978455,0.20565671060215449,0.3808851076598938,0.6191148923401061,0.7433497765603398,0.25665022343966004,0.5047087378786411,0.4952912621213588,0.7955812033425513,0.2044187966574487,0.7287662108293222,0.2712337891706777,19.999999999999993,19.999999999999982,20.000000000000004,20.000000000000004,0.00010931423867740826,0.0011759160095623146,1,53,9348.173952817917
135,1.0204411359698504,0.6160401197277752,46.561404190472125,77.1267498056337,7.66055928412928,6.64011814815943,135,7.66055928412928,73.0,,,79.67550553847104,283.53396793082356,1520.4665299328044,32298,0.047076182114459235,0.757561895984861,0.242438104015139,0.5457079224947184,0.45429207750528156,0.7735270779373989,0.22647292206260103,0.445251299610572,0.5547487003894279,0.02752632313081029,0.9724736768691897,0.8313413603357667,0.16865863966423336,20.000000000000004,19.99999999999997,19.999999999999993,20.000000000000014,11.034683134938621,0.001061608348593581,1,53,9348.173952817917
145,0.69849446274476,0.4216809743263657,51.750009660742826,85.72142779920675,7.33861261090419,6.64011814815943,145,7.33861261090419,77.0,,,80.31135530211031,272.090772356838,1780.0104184774682,37640,0.04729039368962455,0.8097286758980599,0.19027132410194,0.34980990937441603,0.650190090625584,0.7342965678807398,0.2657034321192603,0.5831091396516314,0.4168908603483686,0.8275472083539387,0.17245279164606134,0.2534035342521942,0.7465964657478058,20.000000000000014,20.000000000000004,20.000000000000004,20.000000000000004,0.0003704771201275014,0.00019932446602299923,1,53,9348.173952817917
155,0.373429097819411,0.22543907533859153,54.98560990906761,91.0810456020276,7.013547245978841,6.64011814815943,155,7.013547245978841,84.0,,,85.34991986583918,282.7500819740817,2049.021077014506,43031,0.047617324185227065,0.7953219008458412,0.20467809915415877,0.32325666160405664,0.6767433383959434,0.7977458898144314,0.20225411018556852,0.32470530433933753,0.6752946956606625,0.7154549589226863,0.2845450410773138,0.850368744987318,0.1496312550126821,20.000000000000004,19.999999999999993,20.000000000000004,15.340686715269548,0.0004977894895837878,0.004219566635808488,1,53,9348.173952817917
165,0.22353551993641751,0.13494835087588017,56.78754704013997,94.06586869080674,6.863653668095847,6.64011814815943,165,6.863653668095847,94.0,,,98.56943577900529,280.5451546413824,2316.9312923438847,48378,0.04789225045152517,0.822033400916765,0.177966599083235,0.011019747975353308,0.9889802520246467,0.426237889766358,0.5737621102336421,0.44583033669460764,0.5541696633053924,0.2103520869065607,0.7896479130934394,0.7346494813283332,0.26535051867166687,20.000000000000014,20.000000000000004,19.999999999999993,16.126336536091795,0.0009578716726055225,0.00030248462450932267,1,53,9348.173952817917
