n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.esp_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g0_jet_mach.graph_0.esp_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g1_pr.graph_0.esp_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g2_pr.graph_0.esp_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g3_pr.graph_0.esp_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g4_pr_perc_sum.graph_0.esp_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_esp_semantic_type_sizing,kernel_diagnostics.f0_tsfc.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_jet_mach.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g3_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g4_pr_perc_sum.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
75,2.5872474214817442,1.0,0.0,0.0,9.227365569641174,6.64011814815943,75,9.227365569641174,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,55,8461.126234054565
85,1.2516036951151364,0.48375879505112407,7.418793975255619,19.194255582984404,7.891721843274566,6.64011814815943,85,7.891721843274566,28.0,,,61.93020419962704,243.91915551107377,233.8362785121426,5242,0.044608217953480085,0.00922481479269003,0.5185364827598374,0.47223870244747246,0.006175006787698157,0.378928404129812,0.6148965890824899,0.006281129521550463,0.390429091508975,0.6032897789694746,0.010589806806378445,0.29805093155358414,0.6913592616400374,0.9803921568627451,0.009803921568627447,0.009803921568627446,0.009243314139488996,0.5212250378101941,0.4695316480503169,20.000000000000004,16.95953218479967,19.40795904806875,20.000000000000004,4.71813771806928,20.000000000000004,3,55,8461.126234054565
95,1.2516036951151364,0.48375879505112407,12.25638192576686,31.710292534135768,7.891721843274566,6.64011814815943,95,7.891721843274566,34.0,,,62.95779365487397,214.40151120442897,440.3775756303221,10395,0.04236436514000213,0.00924439623956946,0.6800477086642631,0.31070789509616753,0.009235822532693602,0.680331482345177,0.31043269512212934,0.006204861583259391,0.3767616925643446,0.6170334458523961,0.006179272101900213,0.3758935177080786,0.6179272101900213,0.013835006702085489,0.04182902732556686,0.9443359659723476,0.014082530487431901,0.050124770857179674,0.9357926986553884,19.999999999999993,20.000000000000004,19.370487650089053,19.63753489803648,16.472734519233263,15.481417419465314,3,55,8461.126234054565
105,1.2516036951151364,0.48375879505112407,17.093969876278102,44.22632948528713,7.891721843274566,6.64011814815943,105,7.891721843274566,38.0,,,66.25944827124476,272.2464820081368,698.5253767333925,15795,0.04422446196476052,0.5321212190804615,0.4145538076700436,0.05332497324949482,0.5515240168497726,0.44296074298172966,0.005515240168497724,0.01387775402323094,0.044071796970573965,0.9420504490061951,0.013760171752070142,0.055371202454882064,0.9308686257930477,0.009900009900009901,0.9900009900009901,9.900009900007269e-05,0.7591237444065814,0.23328501814935282,0.007591237444065814,20.000000000000064,16.595637224190995,20.000000000000004,19.999999999999993,20.000000000000124,20.000000000000004,3,55,8461.126234054565
115,0.6994094887250286,0.2703295722387731,20.864411712727588,53.981395404487955,7.339527636884458,6.64011814815943,115,7.339527636884458,40.0,,,66.12288871407509,246.6929428363219,933.9586685672402,21080,0.04430543968535295,0.5605171220557501,0.3858345438031378,0.05364833414111223,0.3360298593652797,0.6606098420410675,0.0033602985936527956,0.013926291887403793,0.059873460022987796,0.9262002480896084,0.014619604389382456,0.03339063430949622,0.9519897613011212,0.9803921568627451,0.009803921568627453,0.00980392156862745,0.28602845403125926,0.13795662273123976,0.576014923237501,20.000000000000004,15.502278249539414,20.000000000000004,20.000000000000014,5.398031571051793,19.709135491016955,3,55,8461.126234054565
125,0.6872298755940545,0.2656220158489792,23.54416965316635,60.91459222608337,7.327348023753484,6.64011814815943,125,7.327348023753484,49.0,,,76.88980406522751,274.11093685682863,1192.026965570636,26553,0.044892364914346256,0.009268493774604538,0.6744755519178341,0.3162559543075613,0.009232483628115965,0.6808744114691099,0.3098931049027742,0.014362367012370423,0.007418069278476072,0.9782195637091535,0.009170197975697283,0.5161477223816742,0.47468207964262843,0.01398311035307439,0.04606014747667205,0.9399567421702536,0.013743465519935265,0.061438183627652465,0.9248183508524123,20.000000000000004,20.000000000000004,20.000000000000004,9.791851543405723,13.627642967259597,14.381764799160857,3,55,8461.126234054565
135,0.6872298755940545,0.2656220158489792,26.20038981165614,67.78689098202392,7.327348023753484,6.64011814815943,135,7.327348023753484,53.0,,,74.58152668271214,246.5235813781619,1427.903572696261,31814,0.04488286831886154,0.00923010785553304,0.6723979384310192,0.3183719537134478,0.009180224193563732,0.5190050135306391,0.4718147622757971,0.01331834384333131,0.03215618849034431,0.9545254676663244,0.009108762501733033,0.5232725697432423,0.46761866775502464,0.02147367090664197,0.5868895099987338,0.3916368190946243,0.013681388617426857,0.09954647877889065,0.8867721326036825,20.000000000000004,20.000000000000025,20.000000000000004,10.985713995852532,0.0004362092355373668,11.953478422736175,3,55,8461.126234054565
145,0.6677869122229847,0.25810709353825,28.819035358592288,74.56197492110911,7.3079050603824145,6.64011814815943,145,7.3079050603824145,57.0,,,74.13702719565481,263.59318791422993,1677.9974297005683,37188,0.04512201327580317,0.009301214995899617,0.6730239634893826,0.31767482151471765,0.008887373522729478,0.6893068643883556,0.3018057620889148,0.00916341665336429,0.5188035263191899,0.47203305702744575,0.021623675357384887,0.44398968492584534,0.5343866397167698,0.020375611200683888,0.8856942495641014,0.09393013923521479,0.01318420806987558,0.3074211141402807,0.6793946777898436,20.000000000000004,19.984464067803,17.700900538640497,14.387787172153297,5.220928391670334,10.938448910320167,3,55,8461.126234054565
155,0.6328948978373319,0.24462094061141867,31.33267552934063,81.0653839714107,7.273013045996762,6.64011814815943,155,7.273013045996762,61.0,,,77.48360564280301,262.0470015630126,1928.3721979921684,42492,0.045382005977411474,0.009377640769706454,0.6747468421913961,0.3158755170388974,0.00943500444329578,0.6750352964977222,0.3155296990589821,0.020129198776782885,0.4145786756770801,0.565292125546137,0.013634081961400504,0.06563930166109472,0.9207266163775049,0.02183040725414681,0.956168230135348,0.02200136261050518,0.005897442684807486,0.5262043524806036,0.46789820483458894,20.000000000000014,20.000000000000004,20.000000000000004,19.999999999999993,0.00018855805950703384,7.268088390726601,3,55,8461.126234054565
165,0.6202765754383996,0.23974381819391694,33.754499323367305,87.33124133778935,7.2603947235978294,6.64011814815943,165,7.2603947235978294,69.0,,,84.36189378518611,270.364923636429,2185.184161688201,47870,0.045648300849972866,0.009313837556821693,0.6818463073502277,0.3088398550929507,0.006141682850028114,0.3805288309222975,0.6133294862276744,0.00934172930501255,0.6719907054893742,0.31866756520561323,0.009279993364707311,0.6832254850462371,0.3074945215890556,0.010491082442062462,0.1549291926574184,0.8345797249005191,0.013742389376018743,0.06761719026167393,0.9186404203623074,20.000000000000004,20.000000000000004,16.29571884000791,13.543850630450097,20.000000000000004,13.644355662978473,3,55,8461.126234054565
