n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_tsfc.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_jet_mach.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g3_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g4_pr_perc_sum.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
75,2.5872474214817442,1.0,0.0,0.0,9.227365569641174,6.64011814815943,75,9.227365569641174,,,,,,0.0,0,,,,,,,,3,55,8333.230838060379
85,2.3634407577713317,0.9134962269738253,9.567481134869126,24.75344089626538,9.003558905930761,6.64011814815943,85,9.003558905930761,28.0,,,44.949516699649394,220.19639775715768,210.5277661792934,5220,0.04033098968951981,20.000000000000004,20.000000000000004,20.000000000000004,20.000000000000004,16.550521255290583,20.000000000000014,3,55,8333.230838060379
95,2.246855515650217,0.8684347298966167,18.477135919221336,47.80492226337312,8.886973663809647,6.64011814815943,95,8.886973663809647,32.0,,,51.407791814766824,302.4418383827433,490.2195110032335,10950,0.044768905114450544,20.000000000000043,20.000000000000014,20.000000000000004,20.000000000000004,15.060399480366815,20.000000000000004,3,55,8333.230838060379
105,1.0370907771057158,0.40084715844909913,24.823545360949915,64.22465372715278,7.677208925265146,6.64011814815943,105,7.677208925265146,41.0,,,52.07686083391309,268.9174588024616,746.8147940654308,16275,0.045887237730594825,20.000000000000014,19.999999999999993,20.000000000000014,20.000000000000004,16.075364463537245,17.74387139375173,3,55,8333.230838060379
115,0.7225780626109435,0.27928448458830246,28.224203576136922,73.02299792573608,7.362696210770373,6.64011814815943,115,7.362696210770373,51.0,,,62.53655339870602,273.6928907362744,1005.8329143831506,21691,0.04637097941003875,20.000000000000004,20.000000000000004,20.000000000000004,19.999999999999993,14.859167948454546,12.05879387308088,3,55,8333.230838060379
125,0.7188094774429983,0.2778278843665166,31.009765420911016,80.22993562600578,7.358927625602428,6.64011814815943,125,7.358927625602428,59.0,,,61.31449386384338,287.93353489786386,1279.156257705763,27105,0.04719263079526888,20.000000000000004,20.000000000000004,20.000000000000004,20.000000000000004,13.64547831950734,11.066408188100059,3,55,8333.230838060379
135,0.7043269867835811,0.2722302401137211,33.760056043312204,87.34561794713868,7.344445134943011,6.64011814815943,135,7.344445134943011,63.0,,,63.40395490266383,264.710476109758,1531.6757794590667,32425,0.04723749512595425,20.000000000000043,20.000000000000004,19.99999999999996,18.267121499098497,13.33314499622536,12.775822795135369,3,55,8333.230838060379
145,0.6473820717971881,0.2502203950120957,36.37230921894129,94.10416324004252,7.287500219956618,6.64011814815943,145,7.287500219956618,65.0,,,71.08876558672637,272.0205129208043,1788.2982650185004,37871,0.04722078278942992,20.000000000000004,19.999738407441914,18.411759491867574,19.774684527032132,14.220645611105782,12.784062754496794,3,55,8333.230838060379
155,0.35811285931846726,0.1384146163776529,38.315484275890036,99.1316378956208,6.998231007477897,6.64011814815943,155,6.998231007477897,72.0,,,69.3377211438492,274.87654566485435,2050.488433331251,43212,0.047451828967214,20.000000000000004,20.000000000000004,16.402477726607145,19.327268499469238,16.78153654580357,13.922446021125388,3,55,8333.230838060379
165,0.35811285931846726,0.1384146163776529,39.699630439666564,102.71276648880547,6.998231007477897,6.64011814815943,165,6.998231007477897,80.0,,,73.89992011990398,301.27362152189016,2335.3803733494133,48700,0.047954422450706635,20.000000000000004,20.000000000000004,16.04531344240665,17.42816042551891,16.566511693464324,11.581351485354263,3,55,8333.230838060379
175,0.2105282086164202,0.08137150195548304,40.79856103133224,105.55597182847991,6.85064635677585,6.64011814815943,175,6.85064635677585,81.0,,,74.92958355601877,259.01874378789216,2585.8909802548587,53877,0.04799619467035764,20.000000000000032,20.000000000000004,15.946671147183366,19.127728068865878,16.219796286530404,12.637972103999832,3,55,8333.230838060379
185,0.2105282086164202,0.08137150195548304,41.61227605088707,107.6612539146441,6.85064635677585,6.64011814815943,185,6.85064635677585,86.0,,,81.33318688999861,265.603906144388,2840.794260318391,59138,0.04803669823663957,19.999999999999993,20.000000000000004,15.685012096285545,18.043745143334466,18.933859094229483,11.535690964931844,3,55,8333.230838060379
195,0.2105282086164202,0.08137150195548304,42.425991070441896,109.76653600080832,6.85064635677585,6.64011814815943,195,6.85064635677585,89.0,,,81.66773688886315,284.9149499768391,3109.2838815096766,64625,0.04811270996533348,20.000000000000004,20.000000000000004,15.519774920517584,18.650305251050458,18.711709117324588,11.770413504261866,3,55,8333.230838060379
205,0.2105282086164202,0.08137150195548304,43.23970608999672,111.87181808697252,6.85064635677585,6.64011814815943,205,6.85064635677585,96.0,,,85.58484504465014,231.01877860259265,3330.84019485116,69835,0.047695857304376886,20.000000000000004,19.999999999999993,15.729360483479793,17.898594221850022,13.999547646363409,9.680205494128796,3,55,8333.230838060379
215,0.2105282086164202,0.08137150195548304,44.05342110955155,113.97710017313673,6.85064635677585,6.64011814815943,215,6.85064635677585,99.0,,,90.5136921228841,261.0785335302353,3581.769092388451,75074,0.04770984751563059,20.000000000000004,20.000000000000004,15.700895102745658,19.42798599547211,11.832384702814453,11.94657580387987,3,55,8333.230838060379
225,0.21050259133165472,0.08136160058905291,44.86708662227423,116.08225417287711,6.8506207394910845,6.64011814815943,225,6.8506207394910845,109.0,,,96.67216163873672,272.28468974586576,3842.6496504414827,80364,0.04781555983327712,20.000000000000004,20.000000000000004,15.300307262097721,17.230975441919934,11.11419496450218,11.789939878853131,3,55,8333.230838060379
235,0.1574993716393669,0.06087526470474375,45.57827094874321,117.92226398773222,6.797617519798797,6.64011814815943,235,6.797617519798797,119.0,,,109.76111291255802,270.79933302663267,4101.608067808673,85673,0.047875153990273166,20.000000000000004,20.000000000000004,15.404348836385175,16.738075158019196,6.60311871747852,11.238898230339133,3,55,8333.230838060379
245,0.1574993716393669,0.06087526470474375,46.18702359579065,119.49725770412589,6.797617519798797,6.64011814815943,245,6.797617519798797,129.0,,,108.5706135854125,223.31504609715194,4319.490775733255,90725,0.047610810424174754,20.000000000000004,20.000000000000004,15.583143720612757,17.01901230886375,6.8490361880306505,11.83348673599522,3,55,8333.230838060379
255,0.041130282948640406,0.015897313340478527,46.57088648601676,120.49040597706592,6.68124843110807,6.64011814815943,255,6.68124843110807,134.0,,,121.27430942188948,287.6258205138147,4594.246448494494,96076,0.047818877227346,20.000000000000014,20.000000000000004,15.661739647131503,16.690532170126026,7.8624472027114445,0.0007271351817026611,3,55,8333.230838060379
265,0.03945787532622269,0.015250909131692069,46.72662759837761,120.89334676844024,6.6795760234856525,6.64011814815943,265,6.6795760234856525,144.0,,,120.73150884918869,299.5881275339052,4880.895322232507,101433,0.048119402188957314,20.000000000000014,20.000000000000004,15.513646260838044,17.18370043639623,7.414283346904177,0.0015217958455837402,3,55,8333.230838060379
