n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f0_tsfc.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.g0_jet_mach.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.g1_pr.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.g2_pr.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.g3_pr.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.g4_pr_perc_sum.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,run,seed,runtime_sec
75,2.5872474214817442,1.0,0.0,0.0,9.227365569641174,6.64011814815943,75,9.227365569641174,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55,12393.703069925308
85,2.4013534868281754,0.9281499198298145,9.640749599149071,24.9430045415496,9.041471634987605,6.64011814815943,85,9.041471634987605,28.0,,,125.02560263988562,340.0711764540756,329.1950299288146,5416,0.06078194791890964,1.0,0.691119939395067,0.4926443514218328,0.6738089685200316,0.0,0.0,0.0,0.0,0.0,2.8575732593369314,0.0,1.0,0.9671195642125507,0.6946549739311852,0.7858609678451813,0.4397169362348011,1.0,5.2475385148298415e-17,0.0,0.0,0.0,3.8873524422237185,0.0,1.0,0.11794081167723662,0.9825843375078233,0.614495933021721,0.0,0.0,0.0,0.0,0.0,0.0,1.7150210822067808,0.6145928423687385,0.38540715763126154,0.0,0.0,0.10463372451061481,0.0,0.0,0.0,0.0,0.0,0.0,0.10463372451061481,0.9994064863890859,0.0005935136109140321,0.0011549419290308265,6.567154643541478e-06,0.34444409661250086,0.9483528837775032,0.00036204693255461744,0.018163231743410516,0.0,1.546380467041269e-20,0.0,1.3124837681496433,0.36934525641473437,0.6306547435852656,0.0,0.9029539384143814,0.9695751712235947,0.9725737452280171,0.8575867018217357,0.8327749026873834,0.0,0.0,0.0,4.535464459375112,1.0,0.0,3,55,12393.703069925308
95,2.4013534868281754,0.9281499198298145,18.922248797447217,48.95653940983135,9.041471634987605,6.64011814815943,95,9.041471634987605,31.0,,,120.35051134903915,335.4868828050094,654.7379253855906,10774,0.0607701805629841,0.9607789099245846,0.9373491920737758,1.0,0.9649106460033354,0.0014159194816190798,0.0,0.0,1.5753919184062018e-18,0.06518070789090784,3.9296353753742226,0.0,1.0,1.0,0.4637648092409764,0.9793666805069802,0.9556224444902168,0.8983363975303102,0.0,0.0,0.0,0.0,4.297090331768484,0.0,1.0,0.21881976717495605,0.45798576113966216,0.9997326274015718,8.984691782954729e-17,3.683133793029942e-17,0.0,0.0,0.0,0.0,1.67653815571619,0.9670910770445841,0.03290892295541595,0.019457250688785725,5.179266110211062e-17,0.8594665689589461,0.9756839138232305,0.021585838553567126,3.386509923638971e-18,7.746247454951766e-18,6.395678737999655e-20,4.0887752384715e-19,1.8761935720245295,1.0,2.545108057364575e-19,0.0002613499707528484,0.0011266144634857083,0.8142873993989961,0.9767071525838965,0.9746669831626836,0.331179272983141,0.0,0.0,0.0,3.0982287725629556,0.9956492127256343,0.004350787274365622,0.0,0.000254270754675774,0.5485350135842356,0.813427536852755,0.9999999999999999,0.5027724305364203,0.0,0.0,0.0,2.864989251728087,0.940988312087834,0.059011687912165996,3,55,12393.703069925308
105,0.8164981056620126,0.3155856292995725,25.140926543094153,65.0457973722823,7.456616253821442,6.64011814815943,105,7.456616253821442,41.0,,,123.94790839497,322.01648267300334,967.8551312895725,16073,0.060216209250891085,0.6690325005359931,0.07842059662710317,0.2013280028168398,0.2869694083659883,2.5455202061469787e-16,4.166376541627382e-18,0.0,0.0,0.0,1.2357505083459246,0.0271221193968344,0.9728778806031656,0.3662067473653199,0.21878654808115752,0.540376002225105,0.0,0.0,0.0,0.0,0.0,0.0,1.1253692976715823,0.0,1.0,0.004219127683147783,0.3331479616468305,0.4174603659669228,0.9334417288049685,0.22203482402385202,0.0,0.0,0.0,0.0,1.9103040081257217,0.9897769712627963,0.010223028737203729,0.0,0.014404896442136625,0.764040770355479,1.0,0.35794191284833177,0.25219135266403087,0.015953837305874664,0.1883379011697475,0.056571189007971076,2.6494418597935714,1.0,0.0,0.0028442689076799213,0.0,0.9357554744935794,0.9999999999999999,0.75560341240943,0.0,0.0,0.0,0.0,2.6942031558106896,0.9948455323246761,0.005154467675323877,0.00015062451705560138,0.8010479388540234,0.9021804169940792,0.9996717103119782,0.8995869485395069,0.06529219021988182,0.0,3.018796501207696e-20,0.0,3.6679298294365252,0.46615246341332306,0.5338475365866769,3,55,12393.703069925308
115,0.8164981056620126,0.3155856292995725,28.29678283608988,73.21077842890242,7.456616253821442,6.64011814815943,115,7.456616253821442,50.0,,,125.3794901369838,318.164316878072,1277.9614035950508,21230,0.06019601524234813,0.9999999999999998,1.0,0.9999999999999984,0.9176445029305323,0.8311406641823789,0.0,0.0,0.0,0.0,4.748785167112909,0.0,1.0,0.3085384720132621,0.9208393056395142,0.8696685941518556,0.37451846898718183,0.3524904169178119,0.0,0.0,0.0,0.0,2.8260552577096254,2.220446049250313e-16,0.9999999999999998,0.22022212144957992,0.6316793654563593,0.9992064517419573,0.6000594281328985,0.748004531448223,0.0,0.0,0.0,0.0,3.199171898229018,1.0,0.0,7.048121781718925e-17,0.9532051019800463,0.9999999999999999,0.19843190881035044,0.0,1.482265286652651e-17,0.0,0.0,0.1372231257878465,2.288860136578243,1.0,6.462311559015189e-18,0.0,0.011016143549030659,0.0007298836737708338,0.9389678804200012,0.04263669460034931,8.127573990966277e-05,0.0,6.807739328204889e-20,1.8980195058979714e-20,0.9934318779830617,0.9971406832811793,0.002859316718820717,0.0006277143632689812,0.14164932105615666,0.45408955101004156,0.9246047739052891,0.9205895503802215,0.3519308838131121,0.0,0.0,0.0,2.79349179452809,0.6514827352880241,0.34851726471197586,3,55,12393.703069925308
125,0.8164981056620126,0.3155856292995725,31.452639129085604,81.37575948552254,7.456616253821442,6.64011814815943,125,7.456616253821442,52.0,,,134.21279649494682,367.4135344650131,1636.4676032663556,26532,0.061679014143915106,0.9473823248614524,0.9976334717421077,1.0,0.9612881015165611,0.0,0.0,0.0,0.0,0.0,3.9063038981201212,0.0,1.0,0.9827270219492852,0.0007101105638256385,0.9537529113608307,0.5619072955939769,0.0,5.941387898289297e-19,0.0,0.0,0.0,2.4990973394679186,1.1102230246251565e-16,0.9999999999999999,0.23348537386855245,0.7021226238548928,0.9229337520576988,0.36897475590096024,0.05260887544669578,0.9209018281762258,0.0,0.0,0.0,3.2010272093050256,0.9876129246688992,0.01238707533110084,0.0,0.7710276463786857,0.9897633673941151,0.41691511471273296,7.464929130602655e-17,0.0,0.1541921525832621,0.0,0.08309034548413223,2.4149886265529283,1.0,0.0,0.0006642958520844903,1.1167203790789816e-05,0.15047478456263078,0.8305777476628463,0.4096169851848146,0.0742110909685942,4.235164736271502e-21,0.0,0.0,1.465556071434761,0.940528523564593,0.05947147643540701,0.001488953695621742,1.0,0.5125083866076289,0.9999999999999999,0.944066547657623,0.0,0.0,0.0,0.0,3.4580638879608734,0.23809178335888515,0.7619082166411149,3,55,12393.703069925308
135,0.8164981056620126,0.3155856292995725,34.608495422081326,89.54074054214266,7.456616253821442,6.64011814815943,135,7.456616253821442,54.0,,,124.6949641390238,373.50052304100245,2000.8015348428162,31846,0.06282740484967708,0.9789984183603665,0.8947673779072214,0.9273174816292186,0.9115393564134174,1.2447996192849198e-17,0.0,0.0,0.0,0.0,3.712622634310224,0.0,1.0,0.9956310192163015,0.6440355902116114,0.9999999999999999,0.044610805331534616,0.0,0.0,7.947568042535641e-20,2.9869123669241095e-19,0.0,2.6842774147594475,0.0,1.0,0.0,0.6599807114389655,0.9738807284236273,0.8915894255911941,0.3227224525087472,3.0890437825880575e-18,0.0,0.0,0.0,2.848173317962534,0.9486923277739934,0.05130767222600666,0.0,0.0,0.9997242047269749,0.004402077200583758,0.0,0.00042890482939180954,0.0,0.0016950456569113893,0.08146580557012859,1.0877160379839903,1.0,0.0,0.0,0.0,0.01821468107423213,1.0,0.9168047959808843,0.760886605267623,0.0,0.0,0.0,2.695906082322739,0.9786777048047877,0.02132229519521236,0.19777204811987417,0.0,1.0,0.9999623916353196,1.0,0.033600692006741754,0.0,0.0,0.0,3.231335131761936,0.34326298386945475,0.6567370161305452,3,55,12393.703069925308
145,0.8164981056620126,0.3155856292995725,37.76435171507705,97.70572159876278,7.456616253821442,6.64011814815943,145,7.456616253821442,56.0,,,126.58995288494043,401.9944228869863,2392.9014342469163,37197,0.06433049531539953,0.9999531574417697,0.9992607885776772,0.821145256816054,0.0010710375418986442,0.0896510838174695,0.0,0.0,0.0,0.0,2.911081324194869,0.0,1.0,0.9575244365370148,0.9655982534283479,0.9162350666988258,0.9512020820861369,0.6038912773878709,0.18946699402622103,0.0,0.0,0.0,4.583918110164418,0.0,1.0,0.0,0.7614850103851124,1.0,0.9893620252448126,0.45322006863851055,4.0936523743681486e-18,1.8492427014330277e-18,1.443838455569139e-17,0.0,3.2040671042684354,1.0,0.0,0.0,0.5540667917382623,0.9993703147137347,0.907735409510788,0.4636412353580432,0.9938007148060354,0.0,0.0,0.0,3.918614466126863,0.782561786190997,0.217438213809003,0.018423052587978585,0.0,0.0004462372902186337,0.9812941767451221,1.0,0.3275749863780595,0.0,0.0,0.0,2.3277384530013787,1.0,0.0,1.0,0.9977700670062073,0.45174722494520725,1.0,0.21159475936304895,0.8672690688258546,1.4877122254166685e-19,1.7262636892612986e-19,1.6182093212672153e-19,4.528381120140318,1.1102230246251565e-16,0.9999999999999999,3,55,12393.703069925308
155,0.8164981056620126,0.3155856292995725,40.92020800807277,105.8707026553829,7.456616253821442,6.64011814815943,155,7.456616253821442,60.0,,,125.40318068896886,334.3168451669626,2720.2048335442087,42398,0.06415880073456787,1.0,0.4286114957995631,0.8796518691177335,1.0,0.0,0.0,0.0,4.378040090622669e-18,0.0,3.3082633649172966,0.0,1.0,1.0,0.6670896018830719,1.0,0.6783783390339959,0.4095056415809843,0.0,0.0,0.0,0.0,3.754973582498052,0.0,1.0,0.2771080081665828,0.24191475842811258,0.9439675846473373,0.9960281712913842,0.8583569296375072,0.0075528296363731404,1.9310949054089672e-16,0.0,0.0,3.3249282818072974,1.0,1.9174152207756907e-17,1.0,0.6285554976648591,0.7338728380894735,0.9377453247170673,0.10804111134199466,0.5409635572681933,7.593539262731793e-19,7.736719772403232e-19,0.0,3.9491783290815876,0.0,1.0,0.0,0.5459138632465373,0.950444542430718,0.599556721105177,0.5084556098372762,0.9920053783590892,0.0,0.0,0.0,3.596376114978798,1.0,0.0,0.89350445603826,0.5484084141519494,0.8305468366149477,0.9999999999999998,0.017012261442641896,0.8229075022594103,2.080772830877141e-19,0.0,1.1993986533120893e-18,4.112379470507209,0.0,1.0,3,55,12393.703069925308
165,0.8164981056620126,0.3155856292995725,44.07606430106849,114.03568371200302,7.456616253821442,6.64011814815943,165,7.456616253821442,62.0,,,130.3951350110583,413.1497125059832,3123.466428574058,47749,0.0654142794314867,0.9780706886643019,0.9944878281439433,0.6323769109775567,0.0741621574922565,0.04342780175189799,0.012137360834301,0.0033965302907978156,0.0,0.0,2.7380592781550552,0.0,1.0,1.0,0.025799756475550762,0.9322109568629596,0.9613755413111923,0.18628588685292716,0.6048460561753916,0.00732822520980331,0.002285402272100519,0.0,3.720131825159925,0.0,1.0,0.6009215369301646,0.8426396022693572,1.0,0.10485276252905823,0.28108643164007696,0.003593045536086786,0.0,0.0,0.0,2.8330933789047434,0.0,1.0,0.0,0.6657504839632783,0.9850315047346526,0.5956653739165806,0.0019518508794799131,0.6129541929448897,0.0,0.0,0.0,2.861353406438881,0.4576598579930009,0.5423401420069991,0.5440742809960305,0.7960010621699107,0.22985431380771434,0.9999999999999999,0.7949459277398323,0.6021019180052086,0.0,0.0,0.0,3.966977502718696,1.0,0.0,0.01998233905022793,0.0,1.0,0.23584677703095902,0.0,0.0,0.0,0.0,0.0,1.255829116081187,0.9823396987048794,0.017660301295120584,3,55,12393.703069925308
