n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.6443710778369602,0.2329199576909558,0.6549522358144216,1.0,0.0,0.0,4.827771555706638,0.7543945090900984,30,-3.459310703065289,,,,,,0.0,0,,,,,,,,0,52,1804.5191090106964
40,0.4465572101345815,0.3624785926177269,0.6549522358144216,0.693012497757651,8.465062488788256,5.454641439857708,4.493488722410814,0.7747822512194618,40,-3.459310703065289,30.0,,,14.14380068704486,57.46933229640126,53.48930226545781,5150,0.0103862722845549,0.964914266432193,0.0350857335678068,0.5761997509028234,0.4238002490971766,11.228772479024215,20.000000000000004,0,52,1804.5191090106964
50,0.3871968714619465,0.4013567791500705,0.6549522358144216,0.6008911398719166,14.934580676936092,9.623411847840348,4.233417956161519,1.226617230321396,50,-3.459310703065289,40.0,,,14.689666476100683,75.57654706016183,125.10621423088014,10352,0.0120852216219938,0.99009900990099,0.0099009900990098,0.6443888480737788,0.3556111519262211,4.36691382896334,20.000000000000032,0,52,1804.5191090106964
60,0.3479959158295647,0.4270315326875609,0.6549522358144216,0.5400551449294179,20.639312100942767,13.299375784297904,3.211916219840482,1.2296393209850571,60,-3.7078954633422554,50.0,,,17.512975621968508,17.662859549745917,140.7097864188254,12060,0.0116674781441812,0.9247983121697178,0.0752016878302822,0.0334135330791737,0.9665864669208262,0.0045213329591324,16.440206017208162,0,52,1804.5191090106964
70,0.2189181890597331,0.5115712784293052,0.6549522358144216,0.3397393157287611,25.03828440423366,16.13394630874439,3.0717804519152785,1.0573757137267217,70,-3.7078954633422554,60.0,,,19.75357320625335,79.03443742357194,215.77604042366147,17299,0.012473324494113,0.8255834318765988,0.1744165681234012,0.0342502485966438,0.9657497514033562,5.4588061524333975,20.00000000000001,0,52,1804.5191090106964
80,0.2132700600749758,0.5152705331360402,0.6549522358144216,0.3309739797616083,28.391850881685507,18.294887554417937,2.601755425148764,0.9993124655451796,80,-3.7078954633422554,70.0,,,21.96008114889264,71.40971623081714,283.12503471877426,22536,0.012563233702466,0.0164387857420608,0.9835612142579392,0.0336593494566604,0.9663406505433396,9.058530645408691,20.00000000000001,0,52,1804.5191090106964
90,0.2105422745046595,0.5170571023941412,0.6549522358144216,0.3267407271155197,31.680424416071148,20.413949227316117,1.8103469806924968,0.9627301422232812,90,-3.7078954633422554,80.0,,,23.82782687805593,86.59091895353049,365.67189392633736,28125,0.0130016673396031,0.0123439048348225,0.9876560951651774,0.0334962687113378,0.9665037312886622,8.687732612118015,20.00000000000001,0,52,1804.5191090106964
100,0.2101940971388627,0.5172851419383298,0.6549522358144216,0.3262003903782385,34.94513000353994,22.51763108553373,1.521636332381113,0.9624556455253368,100,-3.7078954633422554,90.0,,,25.30570613965392,71.59475149773061,433.1943438863382,33428,0.0129590266808166,0.0169106356428728,0.9830893643571272,0.0271862016315484,0.9728137983684516,8.45042127163569,20.000000000000004,0,52,1804.5191090106964
110,0.2089034091446149,0.5181304809259012,0.6549522358144216,0.3241973706297724,38.19711880858,24.613118616951112,1.4836345192944689,1.0070506288168273,110,-3.7078954633422554,100.0,,,27.681351759471,77.81548931542784,506.89167306385934,38797,0.0130652285760202,0.0164303919186252,0.9835696080813748,0.0266071379768823,0.9733928620231176,5.842925916981407,20.000000000000004,0,52,1804.5191090106964
120,0.2052851790372127,0.5205002488244354,0.6549522358144216,0.3185822363820529,41.41101684363912,26.68406155786025,1.436888399408629,1.02821057709723,120,-7.053175412627074,110.0,,,29.40569646283984,44.38039719779045,547.9334229389206,42954,0.0127562840000679,0.6329282951539712,0.3670717048460287,0.0263505893522622,0.9736494106477378,11.190902733775502,19.999999999999982,0,52,1804.5191090106964
130,0.2047411868699236,0.5208565377106669,0.6549522358144216,0.3177380144950074,44.59261809802442,28.734193387395933,1.2087871265814687,1.0469471983533567,130,-7.053175412627074,120.0,,,31.44013228453696,44.729151784442365,589.2342457845807,47272,0.0124647623494792,0.6092588455586981,0.3907411544413019,0.0267080516625211,0.9732919483374788,8.782239742059184,20.000000000000004,0,52,1804.5191090106964
140,0.2047411868699236,0.5208565377106669,0.6549522358144216,0.3177380144950074,47.76999824297449,30.78160525609517,1.2087871265814687,1.0469471983533567,140,-7.053175412627074,130.0,,,32.42564006894827,61.01107956469059,646.8560390919447,51215,0.0126302067576285,0.6769718598348222,0.3230281401651778,0.0337032512721599,0.96629674872784,11.214824370784372,20.000000000000004,0,52,1804.5191090106964
150,0.2047411868699236,0.5208565377106669,0.6549522358144216,0.3177380144950074,50.94737838792456,32.829017124794404,1.2087871265814687,1.0469471983533567,150,-7.053175412627074,140.0,,,36.25863300543279,99.03223290853202,741.7932215044275,56850,0.0130482536764191,0.0104392186736563,0.9895607813263436,0.0264629920307939,0.973537007969206,0.0459059676865903,20.000000000000004,0,52,1804.5191090106964
160,0.2047411868699236,0.5208565377106669,0.6549522358144216,0.3177380144950074,54.12475853287463,34.87642899349364,1.2087871265814687,1.0469471983533567,160,-7.053175412627074,150.0,,,38.39105214551091,89.91398765798658,827.6582993846387,62229,0.0133002024680557,0.0121657198684994,0.9878342801315004,0.0122669548346256,0.9877330451653744,1.9359907486243784,20.000000000000004,0,52,1804.5191090106964
170,0.2029026858764162,0.5220606680469115,0.6549522358144216,0.3148848433072519,57.28787282188593,36.91464835722534,1.2340743023389098,1.068134430917507,170,-7.053175412627074,160.0,,,41.82951410859823,67.55427412688732,891.1793954819441,67482,0.0132061793586725,0.121443854862611,0.878556145137389,0.0122764297626205,0.9877235702373794,0.0001002211747391,20.000000000000004,0,52,1804.5191090106964
180,0.1991335953183196,0.5245292423349239,0.6549522358144216,0.3090355886033494,60.40747498143893,38.92482976319902,1.2011418057719625,1.1309400219142367,180,-7.053175412627074,170.0,,,45.0688140662387,118.79143319278955,1005.8075909931212,73448,0.0136941453952881,0.0103409346938872,0.9896590653061128,0.011052661782289,0.988947338217711,7.879175052626405,20.000000000000004,0,52,1804.5191090106964
190,0.1874371033084927,0.5321898859279456,0.6549522358144216,0.2908837931362251,63.407071890136805,40.85768325633308,1.1719495230468124,1.092756667453609,190,-7.053175412627074,180.0,,,47.772256596013904,108.64210033323616,1110.2899059997872,79241,0.0140115584861345,0.0613632135385705,0.9386367864614296,0.0121357968215025,0.9878642031784974,0.0311552265972697,20.000000000000004,0,52,1804.5191090106964
200,0.1874325340137361,0.5321928785977625,0.6549522358144216,0.2908767020439743,66.3158743660378,42.73203144294423,1.171944725143067,1.107801115051858,200,-7.053175412627074,190.0,,,52.58675485104322,99.2353136651218,1205.3487877361476,84704,0.014230128302514,0.0122495770207117,0.9877504229792884,0.0123094740369892,0.9876905259630108,13.39312940230642,20.000000000000004,0,52,1804.5191090106964
30,0.5682713059480861,0.2827616734345414,0.6549522358144216,1.0,0.0,0.0,3.673599089744762,0.5355154332100325,30,-3.442439242563571,,,,,,0.0,0,,,,,,,,1,53,1584.5812344551086
40,0.5320934668859754,0.3064564300152051,0.6549522358144216,0.9363370300709576,9.681685150354788,5.501823864170308,3.4254500617538457,0.8933933866256981,40,-3.442439242563571,30.0,,,13.697122171521189,64.41910371463746,60.41487809456885,5251,0.0115054043219517,0.0123603928086876,0.9876396071913124,0.0317914426803146,0.9682085573196854,9.822497745481874,20.000000000000004,1,53,1584.5812344551086
50,0.4447522946035275,0.3636607260802469,0.6549522358144216,0.7826407737788497,18.276574169603823,10.386052671617822,3.415664383793805,0.65254862951899,50,-3.442439242563571,40.0,,,16.206227944232523,33.15868372563273,91.2205939879641,7582,0.0120312046937436,0.9900047174156112,0.0099952825843888,0.0332016366718164,0.9667983633281836,6.964904451146268,19.999999999999982,1,53,1584.5812344551086
