n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.5607345803696101,0.287697868702884,0.6549522358144216,1.0,0.0,0.0,4.889731715065609,0.6827115815978918,30,-3.5046103405094478,,,,,,0.0,0,,,,,,,,19,71,1559.7468266487122
40,0.32116782739934746,0.44460264918755876,0.6549522358144216,0.5727626557071772,7.863813278535886,4.409512038844788,4.89974041973278,0.6663463081656182,40,-3.5046103405094478,30.0,,,14.097440508194268,65.63464192952961,61.904719330370426,4720,0.013115406637790344,0.016683346057290195,0.9833166539427098,0.03479095655303187,0.9652090434469681,13.295678142239272,20.000000000000032,19,71,1559.7468266487122
50,0.32116782739819594,0.44460264918831294,0.6549522358144216,0.5727626557051235,13.59143983559739,7.621190312832505,3.4212701137780632,0.7473487593259315,50,-3.5046103405094478,40.0,,,15.24440338369459,17.712694024667144,77.56035391055048,6628,0.011701924247216427,0.8813570149716696,0.11864298502833037,0.03462700820039763,0.9653729917996023,14.173029124742495,20.000000000000004,19,71,1559.7468266487122
60,0.20862280135120856,0.5183142656275797,0.6549522358144216,0.3720526763548168,18.315516495897093,10.270143456579529,3.51283742297416,0.8753942201000794,60,-3.5046103405094478,50.0,,,17.073162281885743,56.95646503660828,130.56284950859845,11789,0.011074972390245012,0.9431885241577818,0.05681147584221836,0.03385244722198407,0.9661475527780159,14.372795322029019,20.000000000000004,19,71,1559.7468266487122
70,0.1982380827372104,0.5251157603021214,0.6549522358144216,0.35353282939415137,21.943444024641934,12.304447877021623,2.5507245367349785,0.9667245494405111,70,-11.312620315790081,60.0,,,18.604211228899658,64.59399044886231,191.3284707190469,17050,0.011221611185867853,0.027232852433256665,0.9727671475667433,0.026207821980182136,0.9737921780198179,8.362969035824252,19.999999999999993,19,71,1559.7468266487122
80,0.19741407592414467,0.5256554454066651,0.6549522358144216,0.3520633162913165,25.47142475306927,14.282708670328399,2.4828156931182397,0.9911762931384173,80,-11.312620315790081,70.0,,,20.15601821243763,42.12679101061076,230.36229614447802,20998,0.010970677976210973,0.9448146936688727,0.055185306331127434,0.02620179254323296,0.973798207456767,11.490338435771372,19.999999999999993,19,71,1559.7468266487122
90,0.18583197477961064,0.5332411684467064,0.6549522358144216,0.3314080873291582,28.888781771171644,16.198938923847173,2.208250771970166,0.8693914558191238,90,-11.312620315790081,80.0,,,21.4688716288656,69.12975930143148,295.5135084008798,26239,0.011262376935130143,0.9074569418806657,0.09254305811933423,0.016307067984764355,0.9836929320152357,9.23185772098053,20.000000000000004,19,71,1559.7468266487122
100,0.1697540947573699,0.543771411914429,0.6549522358144216,0.3027351989696728,32.0594982026658,17.976869271532077,1.6116221608917412,0.7942624394535679,100,-11.312620315790081,90.0,,,23.395999437198043,47.32247841544449,339.7248593866825,29957,0.011340416576649281,0.8989545029327405,0.10104549706725943,0.016248773111654926,0.983751226888345,9.736807344275222,20.000000000000004,19,71,1559.7468266487122
110,0.16849796552138024,0.5445941165660123,0.6549522358144216,0.3004950495657219,35.075649445342776,19.668129572925828,1.3788614407123163,0.9309858879559708,110,-11.312620315790081,100.0,,,25.37020885385573,47.81984527781606,383.73537010885775,34975,0.010971704649288285,0.9283097300648491,0.07169026993515104,0.011105487145769023,0.988894512854231,10.326104486026125,20.000000000000004,19,71,1559.7468266487122
120,0.16691486117395488,0.5456309742978861,0.6549522358144216,0.2976717809412296,38.066483597877536,21.345193706402505,1.4113829580924775,1.0013748317454285,120,-11.312620315790081,110.0,,,27.78237026464194,46.56518405396491,427.39069809764624,38647,0.011058832460414683,0.9214156744230747,0.07858432557692528,0.011064685848080649,0.9889353141519194,8.356000463461344,20.000000000000004,19,71,1559.7468266487122
