n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_esp_semantic_type_sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.6135957839618608,0.25307630522229807,0.6549522358144216,1.0,0.0,0.0,3.7602549744133746,0.8325031518046503,30,-3.455456425906021,,,,,,0.0,0,,,,,,,,,,16,68,1633.767734527588
40,0.5915606275007411,0.26750828021302897,0.6549522358144216,0.9640884813144524,9.820442406572262,6.025782057313009,3.762881346124393,0.9515685220350104,40,-3.455456425906021,30.0,,,14.614589193835855,73.45737216528505,69.40192846953869,5260,0.013194282978999751,0.013754843761938912,0.04810727522965522,0.9381378810084058,0.0206820541615793,0.4087105913760577,0.5706073544623631,12.280694527807194,20.000000000000004,16,68,1633.767734527588
50,0.440566395803318,0.36640228985833706,0.6549522358144216,0.7180075341435238,18.230922483862145,11.186417173833306,3.3636764927592435,0.9906754564989075,50,-3.455456425906021,40.0,,,16.731156489811838,79.52042089682072,144.9581959908828,10623,0.013645692929575714,0.014046973412844216,0.027290234746462517,0.9586627918406933,0.006128826855383726,0.3826637336878031,0.6112074394568132,12.337999767948281,19.999999999999993,16,68,1633.767734527588
60,0.3972407750050117,0.3947785020682356,0.6549522358144216,0.6473981493811942,25.057950901485736,15.375453027874954,3.3274096696542403,1.0220033809773228,60,-3.455456425906021,50.0,,,18.994436434470117,82.8132650591433,223.80853765457869,16050,0.013944457174740105,0.02084724944877205,0.3915078985256441,0.5876448520255839,0.020420960280630136,0.3960579843458622,0.5835210553735076,3.5238009351751787,20.000000000000004,16,68,1633.767734527588
70,0.27613846583816254,0.4740947302193528,0.6549522358144216,0.45003318643292123,30.545107580556312,18.742349232090824,3.260326091395014,0.9668264416783698,70,-3.455456425906021,60.0,,,20.1416642870754,71.71174690686166,291.8139597950503,20715,0.014087084711322728,0.8697982519687781,0.06311909164864467,0.0670826563825772,0.4574567679087464,0.5379686644121662,0.004574567679087453,12.179544620768821,20.000000000000004,16,68,1633.767734527588
80,0.27300194814229595,0.4761489994969321,0.6549522358144216,0.4449214862259629,35.01988094385074,21.488051301993117,2.520879617415891,0.8862929940197295,80,-3.455456425906021,70.0,,,22.834574385546148,48.86589702870697,337.1675497600809,25238,0.013359519366038549,0.018242647051511993,0.7044330762463733,0.27732427670211474,0.006182889693075748,0.38269832391545494,0.6111187863914692,0.0003979155541759041,20.000000000000004,16,68,1633.767734527588
90,0.26520713731472084,0.4812542282762029,0.6549522358144216,0.4322179914639135,39.40557833230012,24.1790967292782,2.133065785742282,0.8751506359187293,90,-3.455456425906021,80.0,,,25.993513328023255,34.0721804369241,368.4922415409237,28322,0.013010812850113823,0.013730633163553522,0.30785646803731986,0.6784128987991265,0.009381874436804107,0.683155329995461,0.3074627955677349,0.006330194477980522,20.000000000000004,16,68,1633.767734527588
100,0.2518667903900157,0.48999151832107857,0.6549522358144216,0.4104767290996754,43.61905193511806,26.764466367801884,1.7003860054236526,0.7914509815511852,100,-3.455456425906021,90.0,,,27.73613680154085,30.590295909903944,396.7126962086186,30636,0.012949232804824996,0.01362291541544203,0.057049247988429024,0.9293278365961289,0.009094260126226139,0.5161155146271976,0.47479022524657616,1.1902317324507936,20.000000000000004,16,68,1633.767734527588
110,0.24497532582308426,0.4945050984472262,0.6549522358144216,0.39924545152727314,47.6676628382528,29.248676948867384,1.697243835738328,0.6706641476439427,110,-11.29217170817371,100.0,,,30.628184399567544,60.303813573904335,453.91101992782205,34766,0.013056176147035093,0.013622042241973406,0.05947806866026087,0.9268998890977657,0.009124445670184441,0.5232600279984139,0.46761552633140174,1.2689989749087651,19.999999999999993,16,68,1633.767734527588
120,0.24422400317549492,0.4949971788950828,0.6549522358144216,0.39802099290609716,51.65399506041965,31.69467359386028,1.6470355966384262,0.6777374093307174,120,-11.29217170817371,110.0,,,32.787772255949676,93.4609529916197,543.255459818989,40557,0.013394863027812438,0.013769912951980871,0.05094677321737241,0.9352833138306467,0.009140336309974784,0.5140830239985348,0.4767766396914904,3.9745775058401276,20.000000000000004,16,68,1633.767734527588
130,0.24372898992450595,0.4953213889305758,0.6549522358144216,0.39721425129553267,55.630171281427806,34.134438559360284,1.4243716028199205,0.9497203583590335,130,-11.29217170817371,120.0,,,35.87419254798442,26.214645366184413,567.065395841375,43085,0.013161550327059882,0.013607846784178434,0.32623929830623316,0.6601528549095884,0.009389081909330334,0.695987008382603,0.2946239097080667,0.0474353604640927,19.999999999999993,16,68,1633.767734527588
140,0.2405370853441167,0.49741193397200806,0.6549522358144216,0.3920122850111821,59.57630396296138,36.5557689357034,1.497476322816949,1.1025049322953886,140,-11.29217170817371,130.0,,,38.57357403729111,42.84869609307498,606.77525246609,46848,0.012951999070741333,0.005784949526056109,0.5374146528596536,0.4568003976142904,0.009127847707893497,0.522412297741948,0.4684598545501585,0.0005036635432051545,19.999999999999982,16,68,1633.767734527588
150,0.2405370853441167,0.49741193397200806,0.6549522358144216,0.3920122850111821,63.49642681307321,38.96113978914457,1.497476322816949,1.1025049322953886,150,-11.29217170817371,140.0,,,40.908731828443706,74.5262363832444,677.2461530296132,52218,0.01296959196119371,0.018502532535018074,0.7172246378852646,0.2642728295797173,0.00938709056179238,0.6691550542565102,0.32145785518169734,0.00021509856924564668,20.000000000000004,16,68,1633.767734527588
160,0.2405370853441167,0.49741193397200806,0.6549522358144216,0.3920122850111821,67.41654966318502,41.36651064258574,1.497476322816949,1.1025049322953886,160,-11.29217170817371,150.0,,,43.77295336779207,43.03361555188894,717.2299551125616,55728,0.012870190121887769,0.018431751646089053,0.7451410704794815,0.23642717787442938,0.00930348413749255,0.6696857324604182,0.3210107834020893,0.00016479392652312072,19.999999999999993,16,68,1633.767734527588
170,0.21348367442649768,0.5151306259389089,0.6549522358144216,0.3479223293355731,71.1162227349188,43.63661444143881,1.4410984790420287,1.0871910315614133,170,-11.29217170817371,160.0,,,46.30625083576888,76.22094121389091,789.3781146956608,61001,0.012940412693163404,0.532384908445808,0.4622912424697339,0.005323849084458071,0.3849594300891773,0.611190975609931,0.0038495943008917607,9.968614875628976,19.999999999999982,16,68,1633.767734527588
180,0.2131559517198756,0.5153452686583382,0.6549522358144216,0.3473882273824827,74.59277551850907,45.76981257217068,1.1703508175625328,1.0601810465157764,180,-11.29217170817371,170.0,,,48.90660184621811,78.1644908003509,863.4376602983102,66287,0.013025746530968519,0.013744262745319785,0.046677801937026704,0.9395779353176535,0.009455035365562473,0.6706624121751384,0.3198825524592991,4.657085776790627,20.000000000000014,16,68,1633.767734527588
