n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.6443710778369602,0.2329199576909558,0.6549522358144216,1.0,0.0,0.0,4.827771555706638,0.7543945090900984,30,-3.459310703065289,,,,,,0.0,0,,,,0,52,1699.5590405464172
40,0.6404246280946232,0.2355046937732287,0.6549522358144216,0.993875501433763,9.969377507168817,6.423978529657917,4.825351659568141,0.6803840932589214,40,-3.459310703065289,30.0,,,10.890630565583706,70.58058077841997,66.46235426981002,5228,0.0127127686055489,12.861519802842867,18.09452842944268,0,52,1699.5590405464172
50,0.4528140969019262,0.3583806306402169,0.6549522358144216,0.7027225654229284,18.452367841452272,11.890172154640664,4.261145331570103,1.045139607534859,50,-3.459310703065289,40.0,,,13.642103244550526,56.15986989531666,118.76572018489242,10112,0.0117450277081578,19.40513328422397,20.000000000000004,0,52,1699.5590405464172
60,0.4335062727670641,0.3710263332260564,0.6549522358144216,0.6727587374378565,25.3297743557562,16.321774002985613,2.788148837985029,1.1753381874030526,60,-3.7078954633422554,50.0,,,15.783068007789552,50.077128170989454,165.09168526623398,14927,0.0110599373796632,19.549957540821666,20.000000000000004,0,52,1699.5590405464172
70,0.2354894561672524,0.5007178899869574,0.6549522358144216,0.3654562786364479,30.52084943612772,19.6667526476572,2.67629887964986,1.0806022306821603,70,-3.7078954633422554,60.0,,,17.957865399308503,83.45253284368664,244.48648516181856,20253,0.0120716182867633,20.000000000000004,20.000000000000004,0,52,1699.5590405464172
80,0.2262177173292802,0.5067904360687747,0.6549522358144216,0.3510674595896716,34.10346812725832,21.975288515139862,2.119076181509845,1.0075048745581372,80,-3.7078954633422554,70.0,,,18.010300500318408,76.58993394300342,316.95561887230724,25533,0.0124135674958801,20.000000000000032,19.99999999999995,0,52,1699.5590405464172
90,0.2244594765061952,0.5079419998269544,0.6549522358144216,0.3483388442256999,37.60049964633517,24.22867448431724,1.659255693152492,0.9465736622499829,90,-3.7078954633422554,80.0,,,19.27513311803341,71.41758569516242,383.6233971025795,30861,0.0124306858851812,13.867305360227892,20.000000000000004,0,52,1699.5590405464172
100,0.2242162726872115,0.5081012867119564,0.6549522358144216,0.3479614160211316,41.08200094756933,26.47205323028427,1.5986867672852625,0.9712463946025646,100,-3.7078954633422554,90.0,,,21.374091959558427,48.20553955528885,428.53406370803714,34914,0.0122739893368859,11.704549300878703,20.000000000000004,0,52,1699.5590405464172
110,0.2195703333990623,0.5111441550361878,0.6549522358144216,0.3407513790595957,44.52556492297297,28.69098626071564,1.1786293302242374,0.887381527026267,110,-3.7078954633422554,100.0,,,23.427982626482844,74.57284372951835,499.0280708903447,40288,0.0123865188366348,9.709718347955562,20.000000000000032,0,52,1699.5590405464172
120,0.2153063499859625,0.5139368605060731,0.6549522358144216,0.3341340997313347,47.89999231692762,30.865369677640764,0.982806191116587,0.814821839797829,120,-7.088277046871167,110.0,,,24.923940765671432,42.615298754535615,538.8213168913499,43655,0.0123427171433134,10.463914237976612,19.999999999999996,0,52,1699.5590405464172
130,0.2138378576946822,0.5148986528155234,0.6549522358144216,0.33185514534963,51.22993854233245,33.01109071604399,0.9426320167119056,0.8668927954136226,130,-7.088277046871167,120.0,,,26.58443068154156,38.265773995779455,574.2187696741894,46968,0.0122257445425436,9.706603106532764,20.000000000000004,0,52,1699.5590405464172
140,0.2060522016103045,0.5199978856752687,0.6549522358144216,0.3197725793373366,54.48807716576728,35.11054101256892,0.8916019745122776,0.8714034118243158,140,-7.088277046871167,130.0,,,29.977150707505643,87.23433948587626,657.2643000856042,52549,0.0125076461985119,15.039061490698195,20.000000000000004,0,52,1699.5590405464172
150,0.2060522016103045,0.5199978856752687,0.6549522358144216,0.3197725793373366,57.685802959140645,37.171063028671966,0.8916019745122776,0.8714034118243158,150,-7.088277046871167,140.0,,,30.81259598582983,74.36576042510569,727.5075809061527,57588,0.0126329718154155,11.79152634125078,20.000000000000004,0,52,1699.5590405464172
160,0.2060522016103045,0.5199978856752687,0.6549522358144216,0.3197725793373366,60.88352875251401,39.23158504477501,0.8916019745122776,0.8714034118243158,160,-7.088277046871167,150.0,,,35.25231377314776,89.70026381500065,805.213973117061,62900,0.0128014940082203,11.06849151323024,20.000000000000004,0,52,1699.5590405464172
170,0.2060522016103045,0.5199978856752687,0.6549522358144216,0.3197725793373366,64.08125454588738,41.29210706087805,0.8916019745122776,0.8714034118243158,170,-7.088277046871167,160.0,,,34.66825194936246,88.53116352576762,889.5655303969979,68310,0.013022478852247,11.33866506148731,20.000000000000004,0,52,1699.5590405464172
180,0.2056667211645381,0.5202503569550861,0.6549522358144216,0.3191743519198983,67.27598920217355,43.350701674752266,0.878484090824374,0.8667887742777154,180,-7.088277046871167,170.0,,,37.35173446685076,119.56017994415016,1004.9350466048344,74466,0.0134952199205655,10.2324131453461,20.000000000000004,0,52,1699.5590405464172
