n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,run,seed,runtime_sec
30,0.5827425350797949,0.27328370955974596,0.6549522358144216,1.0,0.0,0.0,4.054997577627502,0.6098577389800142,30,-3.4142636890430804,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,62,3335.861751794815
40,0.5162181565750135,0.3168539999976174,0.6549522358144216,0.8858425899944437,9.429212949972218,5.494803458274042,3.9209085394420646,0.21244539305835938,40,-4.046029932593684,30.0,,,52.24161330284551,75.61541971703991,72.5400916095823,3844,0.018870991573772714,0.6091060704284678,0.3908939295715322,0.013874776684501532,0.9861252233154985,0.9943676587058653,0.8327578719426627,0.006889332417673861,0.0,0.0,0.0,0.0,0.0,0.0,1.8340148630662017,1.0,0.0,0.8964467257601193,0.5719978367642494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4684445625243687,1.0,0.0,10,62,3335.861751794815
50,0.4449067989666842,0.3635595331021544,0.6549522358144216,0.763470610405611,17.67577895197249,10.30042823598253,3.3725485582598362,0.9697424692745236,50,-4.046029932593684,40.0,,,52.77922546584159,92.91684253141284,161.4719050610438,9080,0.017783249456062092,0.023667021074273653,0.9763329789257263,0.026133342242892602,0.9738666577571073,0.9994036751445776,0.64913422639057,0.0,4.467748394762481e-21,6.884806568872909e-22,0.0,6.293821360906784e-21,0.0,0.0,1.6485379015351476,1.0,0.0,0.9997343684977296,0.26877993308379533,0.0,4.216108116277875e-20,5.80824323916327e-20,0.0,2.8792349532201777e-20,0.0,4.895141051038639e-20,1.2685143015815248,0.9106825374442964,0.08931746255570361,10,62,3335.861751794815
60,0.2789763642115326,0.47223604233469996,0.6549522358144216,0.47873005215473485,23.88678226477422,13.919844051873614,3.4048189748221493,0.9899166938167331,60,-4.046029932593684,50.0,,,53.93985993973911,112.78252556780353,270.2199263377115,14348,0.018833281735274012,0.015885744016438413,0.9841142559835616,0.015587261303601902,0.9844127386963981,0.8577701329322416,0.9959240349277539,0.005826286333824116,0.0,0.0,3.049318610115481e-20,5.759824041329242e-20,7.453889935837843e-20,0.0,1.8595204541938197,1.0,4.0657581468206416e-20,0.838420478707349,0.03143796782480384,0.0015154376019252728,0.0,0.0,0.0,0.0,0.0,0.0,0.8713738841340781,0.9955807577172748,0.004419242282725221,10,62,3335.861751794815
70,0.27290965647071774,0.4762094461335793,0.6549522358144216,0.4683194379029639,28.622029715062713,16.679274155284865,2.1708052833551745,0.84058148632633,70,-4.046029932593684,60.0,,,58.07762758200988,56.33761591883376,323.4181693433784,18064,0.01790401734628977,0.01696567506898157,0.9830343249310184,0.016705745140358438,0.9832942548596416,0.4875340190031758,0.9501440481434208,0.0035351499822798044,0.004976016671957228,6.035486998566457e-20,8.976326722931257e-20,0.0,9.381287087633565e-20,0.0016096128559037921,1.4477988466567373,1.0,0.0,0.9937700595518215,0.058527435013704075,0.0,0.0,0.0,0.0,0.0004211202034745663,0.00017628086342781572,0.00014622001377869224,1.0530411156462067,0.9999990067959275,9.932040725916528e-07,10,62,3335.861751794815
80,0.27238634801823336,0.4765521881745545,0.6549522358144216,0.4674214281971635,33.30073404556335,19.40575417772962,1.9967667325073553,0.8905517911800296,80,-4.046029932593684,70.0,,,58.660305973142385,48.889503189362586,370.00017121993005,20495,0.018053192057571606,0.02435348106738057,0.9756465189326194,0.011621283436295291,0.9883787165637047,0.6572755388133706,0.907334567228151,0.020353118408199557,0.0,1.410355859062545e-19,0.00012895492922888907,3.577639310997665e-19,1.1736367507732253e-19,4.459975795042172e-19,1.58509217937895,0.9980520905971051,0.0019479094028948955,1.0,0.4034916044376625,0.004381771236534354,0.0,0.0,0.0,0.0,0.0,0.0,1.4078733756741968,0.6683667405431368,0.33163325945686317,10,62,3335.861751794815
90,0.269597459079968,0.4783787772201095,0.6549522358144216,0.4626356286881514,37.951019329989926,22.115673213220624,1.890893906136933,0.9345279564753881,90,-4.046029932593684,80.0,,,62.37238371092826,92.4530442901887,458.56286959396675,25676,0.0178595914314522,0.9900990099009901,0.00990099009900989,0.016154283566014782,0.9838457164339852,0.9352780419686139,0.9999999999999996,0.6922198876249319,0.011608319447741204,0.17197083515990305,0.0,0.0,3.483987280058338e-18,0.0,2.811077084201189,1.0,0.0,0.9279621046473473,0.11567862288395415,0.0,9.699935351952908e-20,0.0,0.0,1.073295252922916e-20,0.0,0.0,1.0436407275313015,0.6573594700887733,0.3426405299112268,10,62,3335.861751794815
100,0.20181346427266839,0.5227740561715836,0.6549522358144216,0.3463166872571505,41.99578090971644,24.472727829983807,1.563592300008373,0.994351459611665,100,-3.482849974437949,90.0,,,64.62593773100525,39.318921512924135,495.39335305429995,28290,0.017511253200929656,0.9547284415663428,0.045271558433657086,0.010642960209128366,0.9893570397908716,0.9993559072342301,0.9847970311234064,0.1251194228793178,0.000284786339254054,0.002410040626843038,0.00010152687691708723,8.477018082143626e-19,0.0,1.0391389233090878e-19,2.1120687150799684,0.999939721428238,6.027857176210665e-05,0.5860888430511682,0.6618810779101374,0.0,0.0,5.83888847781722e-20,1.624800911397401e-19,0.0,4.348600272954871e-05,0.0,1.2480134069640352,0.9002656324241587,0.0997343675758413,10,62,3335.861751794815
110,0.15144116994197396,0.555765502966574,0.6549522358144216,0.2598766364655999,45.02674752833019,26.23900100105702,1.1227906372466847,0.9597870397026623,110,-3.482849974437949,100.0,,,68.53425685316324,95.97555138077587,588.5338023081422,31766,0.018527161188319027,0.9848772555082629,0.015122744491737165,0.02359388140821891,0.9764061185917811,0.21924948379137255,0.995514511482918,0.995590674485608,0.6236317746422249,0.11285211869639444,0.599165058005191,0.001288864103291323,0.000230171047519273,0.004279473772852424,3.551802130027372,0.9988178366610154,0.0011821633389846112,1.0,0.239710631865715,0.0,4.8478515531680636e-17,0.0,3.902049335800693e-17,7.396901840044161e-17,0.0,0.0,1.2397106318657152,1.0,0.0,10,62,3335.861751794815
120,0.15111425980475682,0.5559796134918548,0.6549522358144216,0.25931565092303543,47.62270896527337,27.751778149790674,1.0809608509008144,0.9884778769679881,120,-3.482849974437949,110.0,,,68.5436620330438,89.47678597504273,675.9755021655001,33782,0.020009931388476114,0.9892672602259454,0.010732739774054641,0.010619328275732207,0.9893806717242678,0.9102962493074676,0.9831181424106998,0.975033921272771,0.9930985387788184,0.9766981770921668,0.9772542085667464,0.0012418044308162264,0.0,0.00013019900256840226,5.816871240862055,1.0,0.0,0.8623740898147606,0.9863478219877759,0.0,1.0091603473146938e-22,0.0,0.0,0.0,9.683754744898162e-07,0.0,1.848722880178011,1.0,6.405686663610646e-21,10,62,3335.861751794815
