n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,run,seed,runtime_sec
30,0.6443710778369602,0.2329199576909558,0.6549522358144216,1.0,0.0,0.0,4.827771555706638,0.7543945090900984,30,-3.459310703065289,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,3069.660435199737
40,0.4553123104460027,0.3567444200939821,0.6549522358144216,0.7065995450546999,8.5329977252735,5.498416941414814,3.485796479355215,0.701462226038207,40,-3.459310703065289,30.0,,,47.61183718824759,86.32649529306218,82.32446265453473,5205,0.015816419338047,0.8408463043255973,0.9984511393533104,0.0,7.977415219713727e-22,0.0,9.629649721936181e-35,1.5414699096671052e-20,0.0,0.0,1.839297443678908,1.0,0.0,0.999983057658636,0.9998175733858145,0.1480932835704471,0.0,0.0,0.0,0.0,0.0,0.0,2.147893914614897,0.9999795396747282,2.0460325271823755e-05,0,52,3069.660435199737
50,0.4522865903059284,0.3587261222646725,0.6549522358144216,0.7019039275073837,15.575515088083918,10.036411445174467,1.6227078986759962,0.8993529835256543,50,-3.7078954633422554,40.0,,,48.42669596010819,53.04351770877838,132.3268833635375,8913,0.0148465032383639,0.9995582592510373,0.9416358407739096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9411941000249469,1.0,0.0,0.997703153702689,0.6567610994926897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6544642531953788,0.7803738492469225,0.2196261507530774,0,52,3069.660435199737
60,0.4225015427969301,0.3782339057245297,0.6549522358144216,0.6556804880429971,22.363437165835823,14.410352110688764,1.543583407156205,0.8132886266629602,60,-3.7078954633422554,50.0,,,51.57656753109768,103.4044912760146,231.98133322177452,13702,0.016930472428972,0.4809332741475142,0.999876539649419,0.0,0.0,0.0,0.0,0.0,0.0,4.14692674350749e-21,1.4808098137969332,1.0,0.0,1.0,0.9991848227821852,0.0,4.794990297509154e-19,0.0,0.0,0.0,0.0,5.4029112532206395e-22,1.999184822782185,0.99966234065051,0.0003376593494899,0,52,3069.660435199737
70,0.2009699328869429,0.5233265289386441,0.6549522358144216,0.311885402370267,27.201266617902142,17.527709489108126,1.5499406016591295,0.848649131057319,70,-3.7078954633422554,60.0,,,56.1192306256853,103.0532893082127,331.58468319289386,18083,0.0183368181824306,0.9967793272754892,0.9494098661869796,1.0343430447772054e-18,7.703719777548943e-34,0.0,0.0,0.0,9.613434594386296e-21,4.534694807551306e-19,1.9461891934624689,1.0,1.540743955509789e-33,0.8941065749795505,0.7934645083022898,0.0,2.551492599377915e-18,0.0,4.489363061035214e-19,0.0,0.0,2.045135985348948e-18,1.6875710832818402,1.0,1.3661646168366395e-19,0,52,3069.660435199737
80,0.1931165640294319,0.5284701104305463,0.6549522358144216,0.2996977528502522,30.25918239400474,19.49814197369,1.416780674107866,0.8960067744804455,80,-3.7078954633422554,70.0,,,56.236739218235016,107.02657352993263,434.7408658415079,23091,0.0188272862085447,0.9044374888767108,1.0,0.1127246586751269,0.0,0.0,0.1193776059166961,0.0049059507878738,0.0,0.0,2.141445704256408,0.9992503711884908,0.000749628811509,0.9979539970250332,0.2539912115821306,0.0012757658445862,0.0,0.0,0.0,0.0025896550110257,0.0033779028528565,0.0,1.2591885323156324,0.3980484370724533,0.6019515629275467,0,52,3069.660435199737
90,0.1892978944621708,0.5309711566014604,0.6549522358144216,0.2937715564416863,33.22652894046443,21.410214266148014,1.302860474937836,0.8507876976652785,90,-3.7078954633422554,80.0,,,59.15512263262645,104.5631833076477,535.3841807194985,28287,0.0189268632488244,1.0,1.0,0.0363110624598786,0.0,0.0,0.2435808011761554,0.0,0.0,0.0,2.279891863636034,1.0,0.0,1.0,0.5157590048463625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5157590048463625,0.8069784491203027,0.1930215508796973,0,52,3069.660435199737
100,0.1886481584116442,0.531396702680442,0.6549522358144216,0.292763230536204,36.15920287535389,23.299944530517088,1.133741910641522,0.9868204125448892,100,-3.7078954633422554,90.0,,,58.73451669607312,63.49943130975589,596.1769674150273,31431,0.018967801451275,0.6207054955465006,0.8335614362388812,0.0,0.0,0.0,0.1235624799864001,0.0,0.0,0.0,1.577829411771782,1.0,0.0,1.0,0.7901161461839576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7901161461839576,0.4813163542507769,0.5186836457492231,0,52,3069.660435199737
110,0.1732733812595566,0.5414664473513503,0.6549522358144216,0.2689031013638985,38.9675345348544,25.10955222887309,1.0550533078836868,1.089455613968188,110,-6.921460827603051,100.0,,,62.027272085193545,186.72611623629928,778.880582540296,37029,0.0210343401804071,0.9906923465863628,0.7609215860715132,0.0141169988779958,0.0,0.0,0.1994073454879675,0.0,0.0,0.0,1.9651382770238397,1.0,0.0,0.9913857080931984,0.7282509862319206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7196366943251191,0.9963066797807494,0.0036933202192505,0,52,3069.660435199737
120,0.1716245054563068,0.5425463822452691,0.6549522358144216,0.2663442096631958,41.64377108998987,26.83404166245241,0.9582361050118642,1.065420022318199,120,-6.921460827603051,110.0,,,61.10260882601142,131.24816188588738,906.61674336344,41646,0.0217695995621053,1.0,1.0,0.3607332831942218,0.0,7.730944312542047e-17,0.4935814837784726,0.0,0.0,0.0,2.8543147669726943,1.0,0.0,0.9933872234355104,0.8193324058610606,0.033149749733534,0.0,0.0,0.0,0.0,0.0,0.0,1.845869379030105,1.0,0.0,0,52,3069.660435199737
