n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_0,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_1,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_2,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_3,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_4,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_5,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_6,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_7,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_8,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.w_sum,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.adsg_weight,kernel_diagnostics.f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type.semantic_type_weight,run,seed,runtime_sec
30,0.561991071202056,0.2868749272228932,0.6549522358144216,1.0,0.0,0.0,3.1633875829030504,0.8616395228548751,30,-3.4577113498759866,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11,63,3353.5647161006927
40,0.4368391148454148,0.3688434808552243,0.6549522358144216,0.7773061481404843,8.88653074070242,4.994150930237354,3.1510243950520826,0.840902117900088,40,-3.4577113498759866,30.0,,,48.29815800534561,95.78925133822486,92.31182244094089,4431,0.020833180419982146,0.9999999999999999,0.694443347403696,2.75574049576126e-19,1.2503253619790187e-19,1.7711823785040302e-18,0.0,0.0,0.0,0.0,1.6944433474036957,1.0,0.0,0.9703489959269349,0.9761593959651025,0.9530455458453225,0.0,0.0,0.0,0.0,0.0,0.0,2.89955393773736,1.0,0.0,11,63,3353.5647161006927
50,0.3320948623861816,0.4374459631921093,0.6549522358144216,0.590925513595538,15.727689049382532,8.838820816395337,2.3939542776718454,0.9229632564324914,50,-3.4577113498759866,40.0,,,49.60141872894019,83.6887143459171,172.72671030741185,8475,0.020380732779635615,1.0,0.8195716440239078,0.0,1.2617256979784753e-20,0.0,0.0894378552796999,0.0,0.0006546311905718856,7.179146375169485e-05,1.9097359219579313,1.0,5.365453064621664e-19,0.9624679644764713,0.8181827734042851,3.027365022650117e-06,0.0,3.3881317890172014e-21,6.993184986023742e-21,6.0758611276817836e-21,1.6615218795596783e-20,2.3847624786480502e-21,1.7806537652457792,0.9999887809284371,1.1219071562879389e-05,11,63,3353.5647161006927
60,0.20490121086898688,0.5207517296346964,0.6549522358144216,0.36459869447875537,20.505310089753998,11.523801182671178,2.2548765249993763,1.0115686907846988,60,-3.4577113498759866,50.0,,,51.7646051151678,133.3965719291009,302.1445584790781,13771,0.02194064036591955,0.9978553093324841,0.9459924264816495,4.336808689942018e-19,5.886878983417387e-19,0.0,0.08843302063082896,1.6263032587282567e-19,7.860465750519907e-19,0.0,2.0322807564449623,1.0,0.0,1.0,0.9900231421244252,4.310823575036761e-18,1.0403552055417193e-18,0.0,0.0,0.0,0.0,0.0,1.9900231421244252,0.6133361661025456,0.38666383389745435,11,63,3353.5647161006927
70,0.2015327252319592,0.5229579268339765,0.6549522358144216,0.35860485256624464,24.121327824978998,13.555970863175908,1.770226528940332,0.8671035616493934,70,-3.4577113498759866,60.0,,,54.59723271569237,63.65314181987196,362.850581784267,17332,0.02093529781815526,1.0,0.8471805249867653,0.0,0.0,0.0,0.06799730013545284,0.00042579094057978615,0.0,0.0,1.915603616062798,1.0,0.0,1.0,0.6756580299907962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6756580299907962,1.0,0.0,11,63,3353.5647161006927
80,0.19979242752423185,0.5240977387086352,0.6549522358144216,0.35550818822955865,27.691893028958013,15.562596626956864,1.5023311177470522,0.8144267159725536,80,-3.4577113498759866,70.0,,,57.23938167281449,241.56420919299126,600.3571225996129,23289,0.025778570252033704,0.9986258394168965,0.8189069828434918,0.2217324689483946,0.0,0.0,0.010089781610724451,0.0,8.673617379884035e-19,0.027504858018031354,2.0768599308375384,1.0,0.0,0.9457821744654605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9457821744654606,1.0,0.0,11,63,3353.5647161006927
90,0.19961955117308866,0.5242109644613359,0.6549522358144216,0.3552005741765926,31.24543684098877,17.55965652044347,1.217641807551407,0.901394771183308,90,-11.333298551454295,80.0,,,59.26917227823287,39.73140543093905,638.1093249176629,25073,0.0254500588249377,0.9783162661598707,0.32934243580963224,0.0,0.0,0.013819253956337086,0.0028622576052904783,0.0,0.007445084806431838,0.010161480053087847,1.3419467783906502,0.97973020080017,0.02026979919982996,0.998772805031586,0.8930125866098894,1.2116626260583827e-21,0.0,0.0,0.0,5.6191033257284626e-05,0.0,0.0,1.8918415826747326,0.9998775804507208,0.0001224195492791873,11,63,3353.5647161006927
100,0.19928521709736294,0.5244299373117414,0.6549522358144216,0.3546056642343215,34.79446803304334,19.554180361795726,1.1689837798133904,0.8592241099443323,100,-11.333298551454295,90.0,,,60.89046478876844,125.5591057841666,760.4101637485437,29233,0.026012046787826898,0.9996101587582957,0.9504416602766336,0.0,0.0,0.0,0.06999020733056693,0.001125934588543944,0.0,0.004188253090640429,2.025356214044681,1.0,0.0,0.5962161792391448,0.5776069110268175,0.0,0.0,0.0,1.4823076576950256e-21,2.9857911390714087e-20,0.0,4.0280387108882236e-20,1.1738230902659623,1.0,5.256236484406959e-20,11,63,3353.5647161006927
110,0.19695449735440992,0.5259564474184453,0.6549522358144216,0.35045841018993285,38.31978840516461,21.53537893405459,1.1327478773571453,0.8419627756846806,110,-11.333298551454295,100.0,,,62.7946472982876,122.52743276394904,878.9854524089023,34443,0.025520002682951612,1.0,0.6897895857219194,0.0,0.0,0.0,0.08184982308992354,0.0,0.0,0.0,1.771639408811843,1.0,0.0,0.967193035553074,0.9903901513260821,6.2341624917916505e-19,0.0,9.486769009248164e-20,0.0,0.0,0.0,9.825582188149884e-20,1.9575831868791562,0.9326329944355911,0.06736700556440889,11,63,3353.5647161006927
120,0.18967509979471897,0.5307241051255469,0.6549522358144216,0.3375055397037152,41.75960815463285,23.468526919800237,1.117105148162689,0.9077709868721717,120,-11.333298551454295,110.0,,,63.3833774458617,107.60910284379497,983.8469786471687,37725,0.02607944277394748,0.9893383228830434,0.6647451496395756,2.392682790995539e-17,0.0,3.9119394557189453e-17,0.06642519743177429,0.0,0.00206853880248167,0.0,1.722577208756875,1.0,1.5829351718288365e-17,0.9962814371073806,0.022662018961950574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0189434560693311,0.9979431873357487,0.0020568126642513175,11,63,3353.5647161006927
