x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.163336342344337e-17,2.5587171270657905e-17,0.004890305256456951,3.469446951953614e-18,0.0,0.07170818041262256,0.0,0.005478648592854128,0.485081879064864,-10.990803220984484,41.87377965402055,12,64
2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.005279215928311414,0.0005386901933161596,0.505924555914582,0.004105415718625928,0.007612343344445665,0.07233343003442716,0.06284095755296629,0.1017446581520212,0.4989100073396239,-11.003836683618827,44.77719558894982,12,64
2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.05373381421273757,0.0,0.5292980489046237,0.0,0.0,0.014911786163483494,0.14824438858334638,0.04774059781754269,0.5092523336795312,-11.013471289672472,44.802200869012054,12,64
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.5,0.5,0.0,0.0,0.5,5.149960319306146e-17,4.85722573273506e-17,0.5,-3.999875209835942,20.0,12,64
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1371570576800195e-18,0.5,0.5,0.0,0.0,0.5,0.0,0.10667631932512708,0.5,-3.999875950879544,20.640057915950763,12,64
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.5,0.5,0.0,0.0,0.5,6.938893903907228e-18,0.0,0.5,-3.999875209835942,20.0,12,64
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.050176415555476514,0.5,-3.9998753737841577,20.30105849333286,12,64
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1989257990886255,0.07943907601942067,0.5,0.0,0.0,3.903127820947816e-18,0.5780515478961479,0.08092126547359867,0.5,-7.57615823229496,35.77501116261155,12,64
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35120787878547655,0.07913044596298535,0.5,4.773731577614641e-18,0.0018851531858028337,2.4269100922642184e-18,0.015908740378486726,0.001659996125651047,0.5,-7.51309268534345,32.52398354933471,12,64
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2100354635473957,0.05890835179424443,0.5,0.0,0.0,2.038121937353737e-17,0.5446046368488126,8.673617379884035e-18,0.5,-7.565806241169996,35.100723450103665,12,64
