n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.wloa_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g0_jet_mach.graph_0.wloa_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g1_pr.graph_0.wloa_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g2_pr.graph_0.wloa_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g3_pr.graph_0.wloa_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g4_pr_perc_sum.graph_0.wloa_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_tsfc.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_tsfc.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g0_jet_mach.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g0_jet_mach.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g1_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g1_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g2_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g2_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g3_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g3_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g4_pr_perc_sum.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g4_pr_perc_sum.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
75,0.7465628699146327,1.0,0.0,0.0,7.3866810180740625,6.64011814815943,75,7.3866810180740625,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,8346.038519859314
85,0.2681447622389088,0.3591723792392332,6.795861896196166,5.073538160767708,6.908262910398339,6.64011814815943,85,6.908262910398339,28.0,,,39.23739987332374,289.03690844774246,273.70866890996695,5468,0.0500564500566874,0.0088172844880032,0.8099433961713526,0.1812393193406442,0.0081696622618482,0.2969848498790522,0.6948454878590995,0.008351028190468,0.2315495514774251,0.7600994203321069,0.0099000099000099,0.99000099000099,9.9000099000099e-05,0.9803921568627452,0.0098039215686274,0.0098039215686274,0.1506198285909209,0.4076808471628529,0.4416993242462261,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
95,0.2681447622389088,0.3591723792392332,10.387585688588498,7.754985783156796,6.908262910398339,6.64011814815943,95,6.908262910398339,38.0,,,40.29997681919485,366.5614332677797,611.8461215207353,11468,0.0533524696128998,0.008620431695904,0.5087044763187601,0.4826750919853358,0.0081527224068542,0.2962407271649567,0.695606550428189,0.0085909773449067,0.5039587180630695,0.4874503045920238,0.0061910681902967,0.6191068190296712,0.3747021127800319,0.008869412321638,0.8840613587085284,0.1070692289698335,0.006002977445226,0.5420532296524552,0.4519437929023187,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
105,0.2681447622389088,0.3591723792392332,13.979309480980833,10.436433405545884,6.908262910398339,6.64011814815943,105,6.908262910398339,38.0,,,40.48598235286772,293.4268966456875,889.2900070026517,16958,0.0524407363487823,0.008620431695904,0.5087044763187601,0.4826750919853358,0.0081527224068542,0.2962407271649567,0.695606550428189,0.0085909773449067,0.5039587180630695,0.4874503045920238,0.0061910681902967,0.6191068190296712,0.3747021127800319,0.008869412321638,0.8840613587085284,0.1070692289698335,0.006002977445226,0.5420532296524552,0.4519437929023187,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
115,0.2681447622389088,0.3591723792392332,17.571033273373164,13.117881027934972,6.908262910398339,6.64011814815943,115,6.908262910398339,39.0,,,40.22929976321757,230.34827361349016,1110.0528153777122,22185,0.0500361873057341,0.0069144015756001,0.5510542388211593,0.4420313596032406,0.0082021349509887,0.304084557258603,0.6877133077904082,0.0086514847330398,0.505391538179557,0.4859569770874031,0.1794403296080307,0.2927289117171271,0.5278307586748421,0.0093363049035319,0.9327888830845044,0.0578748120119638,0.0087132309101155,0.5256170091775423,0.4656697599123421,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
125,0.2161857886868325,0.2895747932274649,20.81476913570665,15.53953378256368,6.856303936846262,6.64011814815943,125,6.856303936846262,41.0,,,40.41826500184834,332.9500113232061,1421.6512434743345,27889,0.0509753395056952,0.0087357590018481,0.5162183919935898,0.4750458490045621,0.0068846799792063,0.5524841896160632,0.4406311304047305,0.0086400732597888,0.512243745445657,0.4791161812945541,0.3489217163124292,0.2237083647334171,0.4273699189541536,0.0099000099000099,0.99000099000099,9.900009900009898e-05,0.2682905011936219,0.7290265937944419,0.0026829050119362,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
135,0.2155562142007889,0.2887314958825064,23.706300581256517,17.698243797001787,6.855674362360219,6.64011814815943,135,6.855674362360219,47.0,,,45.46858073771,239.05613448657093,1649.3045186828822,32704,0.0504312780908415,0.0085989637017513,0.506399766977349,0.4850012693208996,0.0069518152048944,0.5556898266737323,0.4373583581213732,0.0081944180561933,0.2906279306772801,0.7011776512665264,0.0541413236142512,0.1779208480489552,0.7679378283367935,0.0111812127756562,0.9321654015496844,0.0566533856746592,0.0068377498082814,0.5488056002279191,0.4443566499637996,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
145,0.2155562142007889,0.2887314958825064,26.59361554008158,19.853805939009675,6.855674362360219,6.64011814815943,145,6.855674362360219,56.0,,,43.53296482376754,165.99466020893306,1811.7350336192176,36333,0.0498647244548817,0.008166563940225,0.2980350339084902,0.6937984021512847,0.0057990275693416,0.5523790314890171,0.4418219409416412,0.0081027464783444,0.2866601215029926,0.7052371320186629,0.0085516649752517,0.5181064423632427,0.4733418926615056,0.0258544738225648,0.9738869814392096,0.0002585447382256,0.0087034032542518,0.5185531780727825,0.4727434186729658,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
155,0.1535786601507016,0.2057143026256622,29.06584453262242,21.69948031076713,6.793696808310132,6.64011814815943,155,6.793696808310132,59.0,,,43.71172650717199,282.48001731093973,2082.8953891927376,41631,0.0500323170039811,0.0068924293867728,0.5480995847793022,0.445007985833925,0.0089222492114319,0.8234786029237116,0.1675991478648565,0.0082002939493371,0.2795214807537226,0.7122782252969402,0.0082158656084975,0.2401052256215305,0.7516789087699719,0.1078311817635376,0.891090506418827,0.0010783118176353,0.0084141501530977,0.520989656310355,0.4705961935365473,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
165,0.1535786601507016,0.2057143026256622,31.122987558879043,23.235266912274145,6.793696808310132,6.64011814815943,165,6.793696808310132,69.0,,,38.7767261210829,210.6536011192948,2289.2520161066204,46643,0.0490802910641815,0.0081102533439908,0.3078333614052995,0.6840563852507096,0.1376838533355027,0.8609393081311423,0.001376838533355,0.0081906432445512,0.3113407794029174,0.6804685773525313,0.0081340099490022,0.2621394962576101,0.7297264937933876,0.1490435449098889,0.8494660196410122,0.0014904354490988,0.0080384190249359,0.4324115962241098,0.5595499847509542,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,52,8346.038519859314
