n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.wloa_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g0_jet_mach.graph_0.wloa_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g1_pr.graph_0.wloa_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g2_pr.graph_0.wloa_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g3_pr.graph_0.wloa_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g4_pr_perc_sum.graph_0.wloa_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_tsfc.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_tsfc.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g0_jet_mach.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g0_jet_mach.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g1_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g1_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g2_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g2_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g3_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g3_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g4_pr_perc_sum.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g4_pr_perc_sum.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
75,1.0393637978002506,1.0,0.0,0.0,7.67948194595968,6.64011814815943,75,7.67948194595968,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,61,8863.62595295906
85,1.0393637978002506,1.0,10.0,10.393637978002506,7.67948194595968,6.64011814815943,85,7.67948194595968,34.0,,,38.199355316348374,250.00133641809225,241.56423572357744,5183,0.04660702985212762,0.008570831387971151,0.4989211472585863,0.4925080213534425,0.008545441982516241,0.4933275368648493,0.4981270211526345,0.008255363044723917,0.24528877099281723,0.7464558659624588,0.00985800061574328,0.004748159895620758,0.9853938394886359,0.9763981105563881,0.01383790833804786,0.009763981105563884,0.7171369345806892,0.275691696073504,0.007171369345806895,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
95,0.9335673389480865,0.8982103676536785,19.49105183826839,20.25829366174419,7.573685487107516,6.64011814815943,95,7.573685487107516,34.0,,,38.0299591422081,341.46545889694244,566.2410077247769,10708,0.052880183762119615,0.008570831387971151,0.4989211472585863,0.4925080213534425,0.008545441982516241,0.4933275368648493,0.4981270211526345,0.008255363044723917,0.24528877099281723,0.7464558659624588,0.00985800061574328,0.004748159895620758,0.9853938394886359,0.9763981105563881,0.01383790833804786,0.009763981105563884,0.7171369345806892,0.275691696073504,0.007171369345806895,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
105,0.6046156063350088,0.5817170153652075,26.89068875336282,27.94920838815967,7.244733754494439,6.64011814815943,105,7.244733754494439,42.0,,,33.011138196103275,328.35602944530547,881.786574694328,16071,0.05486818335475876,0.008778511921962748,0.810612826689396,0.18060866138864115,0.008499342903476145,0.5240568896018052,0.4674437674947188,0.008243146730363336,0.24113774837242016,0.7506191048972165,0.008356830693104602,0.2377784347182143,0.7538647345886811,0.14055255368486588,0.6352703618827152,0.22417708443241885,0.17416329437284647,0.38178799535572844,0.444048710271425,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
115,0.6046156063350088,0.5817170153652075,32.707858907014895,33.99536445150976,7.244733754494439,6.64011814815943,115,7.244733754494439,49.0,,,32.476756839081645,254.756406837143,1121.783028550446,21274,0.0527302354305935,0.008599020032129149,0.5184656117665281,0.47293536820134274,0.1677119855398735,0.6236128776905683,0.20867513676955815,0.00825327394839432,0.2373927001199737,0.7543540259316319,0.015238121363290523,0.21073755468102215,0.7740243239556873,0.14927874934117272,0.5627800251160213,0.287941225542806,0.19633328586673146,0.8017033812746011,0.001963332858667377,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
125,0.5649891294508871,0.5435913109987588,38.33440053883473,39.84338813043924,7.205107277610317,6.64011814815943,125,7.205107277610317,51.0,,,32.86620409600437,287.76296816114336,1399.69697430823,26512,0.05279484664711187,0.008653004472334126,0.5160653469530141,0.4752816485746517,0.006819872096292517,0.5404621272591044,0.45271800064460305,0.008284474829913653,0.23512869121360566,0.7565868339564807,0.15208524562775155,0.517189818163666,0.3307249362085825,0.10975529563130404,0.5694615757738154,0.3207831285948806,0.20973264021411342,0.781844139913145,0.008423219872741762,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
135,0.3579750882116617,0.3444175071031855,42.77444462934445,44.45820921875198,6.9980932363710915,6.64011814815943,135,6.9980932363710915,56.0,,,33.158746663481,312.6946304226294,1700.5007810872048,31832,0.053421110237723196,0.008879503836572057,0.8164579164026136,0.17466257976081437,0.005767634765860501,0.5497590227343094,0.44447334249983,0.008267440353717723,0.2249916074741323,0.7667409521721499,0.16092663681869857,0.37471724460215705,0.46435611857914444,0.2905915884594965,0.6310118342789728,0.0783965772615307,0.24018245377708475,0.7574157216851446,0.002401824537770846,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
145,0.3579750882116617,0.3444175071031855,46.21861970037631,48.0379601008686,6.9980932363710915,6.64011814815943,145,6.9980932363710915,64.0,,,32.6993319503963,295.8711157105863,1985.9295489545912,36996,0.05367957479064199,0.008526693966483421,0.525443906242444,0.4660293997910726,0.008626346916968541,0.507617082067703,0.4837565710153286,0.015562136038645296,0.2075930383800908,0.776844825581264,0.008305332030825905,0.24672607403709176,0.7449685939320824,0.26786307044990587,0.7294582988455951,0.0026786307044990585,0.008460533676170416,0.5092193708434836,0.48232009548034604,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
155,0.34401284694245327,0.33098405743064674,49.59562752304547,51.54789977663918,6.984130995101883,6.64011814815943,155,6.984130995101883,67.0,,,33.6870638160035,329.2103237072006,2304.2109122360125,42277,0.054502706252478,0.008664107927830513,0.5253618444104593,0.46597404766171013,0.005743356443453124,0.5484461331234632,0.44581051043308356,0.008596231148701282,0.50742276501942,0.48398100383187886,0.015184406490784907,0.21728189535524076,0.7675336981539744,0.2680152156477299,0.7293046321957929,0.002680152156477282,0.008272826721581958,0.31542101418545276,0.6763061590929652,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
165,0.22225143847792772,0.21383411558908363,52.319718388144125,54.37922120374108,6.8623695866373575,6.64011814815943,165,6.8623695866373575,75.0,,,34.14394794404507,357.59757313039154,2648.367881678976,47658,0.05557026903518771,0.008606367157523366,0.5238418558789022,0.4675517769635745,0.006900636839356895,0.5541016615239133,0.4389977016367299,0.008669100981674636,0.5027889863450387,0.4885419126732867,0.015228535635511065,0.21889260140768724,0.7658788629568016,0.303225461079863,0.6937422843093385,0.0030322546107986285,0.008576887763252565,0.5143746539081917,0.4770484583285558,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
