n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.wloa_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.f1_mass.graph_0.wloa_semantic_type,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
30,0.6443710778369602,0.2329199576909558,0.6549522358144216,1.0,0.0,0.0,4.827771555706638,0.7543945090900984,30,-3.4593107030652894,,,,,,0.0,0,,,,,,,,,,,,0,52,1689.774514913559
40,0.6310870574715302,0.24162035652989852,0.6549522358144216,0.9793845179860924,9.896922589930462,6.377290676542452,3.3415058380854785,0.7798332856823672,40,-3.7078954633422545,30.0,,,8.781792872585356,42.66582002490759,39.56548002362251,3384,0.011691926720928638,0.5782870452190586,0.19036895663350564,0.23134399814743564,0.5031873424033062,0.49178078417266063,0.005031873424033052,2.0,3.0,2.0,3.0,0,52,1689.774514913559
50,0.5329784081291014,0.3058768357694554,0.6549522358144216,0.8271296252436028,18.92949330607894,12.19761800454561,2.6795643593011977,0.8294279361476,50,-7.257074786870725,40.0,,,9.363483628258109,58.539065727964044,94.36512799561024,7692,0.01226795735772364,0.5014785466702942,0.16013301627790988,0.3383884370517959,0.15935524228967776,0.8390512052874255,0.0015935524228967738,2.0,3.0,2.0,3.0,0,52,1689.774514913559
60,0.5329784081291014,0.3058768357694554,0.6549522358144216,0.8271296252436028,27.200789558514966,17.527402085836624,2.6795643593011977,0.8294279361476,60,-7.257074786870725,50.0,,,8.987229800783098,50.35952313430607,141.4073771154508,11456,0.012343521047088931,0.00831944760904528,0.23102170436697825,0.7606588480239764,0.19017653222682523,0.8079217024509066,0.0019017653222682524,2.0,3.0,2.0,3.0,0,52,1689.774514913559
70,0.3010646852558266,0.45776924708135286,0.6549522358144216,0.4672225300155424,33.672550334810694,21.697617552761262,2.6869363291475525,0.8201843095623379,70,-7.257074786870725,60.0,,,10.41261222679168,94.3306972719729,231.41725916229188,16824,0.01375518658834355,0.8034888250917364,0.008034888250917362,0.18847628665734625,0.21584467649837763,0.7819968767366386,0.002158446764983772,2.0,3.0,2.0,3.0,0,52,1689.774514913559
80,0.24633941443537213,0.49361168556075924,0.6549522358144216,0.38229433770101845,37.9201346733935,24.434638051217256,2.6002281632867517,0.9434135059500441,80,-7.257074786870725,70.0,,,14.511220713146031,74.01719694025815,301.0954496860504,22093,0.013628545226363573,0.008193932982963314,0.25400406570655404,0.7378020013104827,0.1549794180940634,0.8434707877249961,0.001549794180940634,2.0,3.0,2.0,3.0,0,52,1689.774514913559
90,0.23985098733395158,0.49786129539775353,0.6549522358144216,0.3722249424028914,41.692731073913045,26.865590060063873,2.0948400581706905,0.9264266168538666,90,-3.494755162433336,80.0,,,10.542729046195745,78.586182131432,375.33262630272657,27331,0.01373285376688473,0.008143995368954333,0.2436721346417831,0.7481838699892626,0.18849739610472244,0.8096176299342304,0.0018849739610472243,2.0,3.0,2.0,3.0,0,52,1689.774514913559
100,0.23018865911630404,0.5041896588670746,0.6549522358144216,0.35722996737998647,45.340005622827434,29.215788292315153,1.9314006244319752,0.9114396384504225,100,-3.494755162433336,90.0,,,10.650521332398057,109.75144828949124,480.6562362164259,32834,0.014638978991789788,0.9424670401890647,0.009424670401890647,0.04810828940904467,0.25118773342393275,0.746300389241828,0.002511877334239327,2.0,3.0,2.0,3.0,0,52,1689.774514913559
110,0.22896842006092158,0.5049888571646254,0.6549522358144216,0.35533627739706763,48.9028368467127,31.51157368820128,1.4943331837457396,0.9306086853631385,110,-3.494755162433336,100.0,,,10.692597009241581,74.31744782067835,552.1626414265484,35974,0.015348936493760726,0.01590751281148517,0.20950187309753424,0.7745906140909806,0.17642286745997926,0.8218129038654209,0.001764228674599792,2.0,3.0,2.0,3.0,0,52,1689.774514913559
120,0.2258132006397773,0.5070553751789889,0.6549522358144216,0.3504396898100894,52.43171668274849,33.785481791704775,1.4510239218889858,0.8889334065044241,120,-3.494755162433336,110.0,,,11.233880043961108,102.01909816637635,649.8424135707319,41325,0.015725164272733985,0.01533557099018832,0.2209535033652775,0.7637109256445342,0.16425953613207428,0.8340978685066051,0.0016425953613207426,2.0,3.0,2.0,3.0,0,52,1689.774514913559
