sample_id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,is_active0,is_active1,is_active2,is_active3,is_active4,is_active5,is_active6,is_active7,is_active8,is_active9,is_active10,is_active11,is_active12,is_active13,f0,f1,g0,g1,g2,cv,is_feasible
0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.1992585426196456,0.5,0.5,0.18,10.320234384387732,True,True,True,False,False,True,False,False,False,True,False,False,False,True,7.616876326780987,-1.4900730341816841,9.247872912965249e-05,-69000.35623152398,-1.3754761071617458,9.247872912965249e-05,False
1,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,30.0,0.9896044814959168,0.5,0.5,0.18,10.76157897617668,True,True,True,False,False,True,False,False,False,True,False,False,False,True,8.093400080620816,-0.0,4497.055938574749,200000.0,-5.583604694195685,204497.05593857475,False
2,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,30.0,0.30950166936963797,0.5,0.5,0.18,10.573057767935097,True,True,True,False,False,True,False,False,False,True,False,False,False,True,8.343855980646627,-0.0,7844.1956268579515,200000.0,-1.6786446004345883,207844.19562685795,False
3,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,0.5056097442284226,0.5,0.5,0.18,10.006833938881755,True,True,True,False,False,True,False,False,False,True,False,False,False,True,7.808348418308699,-0.0,7844.1956268579515,200000.0,-3.0094669329758315,207844.19562685795,False
4,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,30.0,0.49555954337120056,0.5,0.5,0.18,10.463953119702637,True,True,True,False,False,True,False,False,False,True,False,False,False,True,8.263463043449157,-0.0,1415.049823789247,200000.0,-2.5796820003774683,201415.04982378925,False
5,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,30.0,0.6895884405821562,0.5,0.5,0.18,10.897607220336795,True,True,True,False,False,True,False,False,False,True,False,False,False,True,8.451544344267772,-0.0,7844.1956268579515,200000.0,-3.2930000749423516,207844.19562685795,False
6,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.011320486664772034,0.5,0.5,0.18,10.709177564829588,True,True,True,False,False,True,False,False,False,True,False,False,False,True,7.728786951810631,-0.0,7844.1956268579515,200000.0,-0.7441156871550841,207844.19562685795,False
7,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.7995876055210829,0.5,0.5,0.18,10.150400086306036,True,True,True,False,False,True,False,False,False,True,False,False,False,True,8.33268754553436,-0.0,5225.286768028984,200000.0,-4.923930358537937,205225.28676802898,False
8,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,30.0,0.32893960550427437,0.5,0.5,0.18,10.11154889408499,True,True,True,False,False,True,False,False,False,True,False,False,False,True,8.182093395850202,-0.0,7844.1956268579515,200000.0,-2.005880604130688,207844.19562685795,False
9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.6030465010553598,0.5,0.5,0.18,10.560581231489778,True,True,True,False,False,True,False,False,False,True,False,False,False,True,7.959173886153694,-0.0,7844.1956268579515,200000.0,-3.0904185426101223,207844.19562685795,False
10,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,30.0,0.15644032135605812,0.5,0.5,0.18,10.874137841165066,True,True,True,False,False,True,False,False,False,True,False,False,False,True,8.156892075734902,-0.0,7844.1956268579515,200000.0,-1.0627413515818653,207844.19562685795,False
11,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,30.0,0.8997856769710779,0.5,0.5,0.18353646330535411,10.299976880662143,True,True,True,False,False,True,False,False,False,True,False,False,True,True,8.537924222495652,-0.0,7844.1956268579515,200000.0,-20.962162611999457,207844.19562685795,False
12,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,30.0,0.10124235134571791,0.5,0.5,0.18779500806704164,10.233172841370106,True,True,True,False,False,True,False,False,False,True,False,False,True,True,8.15526706168789,-0.0,7844.1956268579515,200000.0,-4.232378886950899,207844.19562685795,False
13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.8427605303004384,0.5,0.5,0.16196662064641715,10.659133951179683,True,True,True,False,False,True,False,False,False,True,False,False,True,True,8.029455839100596,-0.0,7844.1956268579515,200000.0,-15.763795252420756,207844.19562685795,False
14,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,0.39773744624108076,0.5,0.5,0.1754443155415356,10.972537972964346,True,True,True,False,False,True,False,False,False,True,False,False,True,True,8.189396829060346,-0.0,7844.1956268579515,200000.0,-7.031926407482356,207844.19562685795,False
15,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,30.0,0.6700170459225774,0.5,0.5,0.2097102278843522,10.421692380681634,True,True,True,False,False,True,False,False,False,True,False,False,True,True,8.215574842369737,-0.0,7844.1956268579515,200000.0,-15.891987838321608,207844.19562685795,False
16,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,30.0,0.41530004143714905,0.5,0.5,0.1514766126126051,10.63067061919719,True,True,True,False,False,True,False,False,False,True,False,False,True,True,8.026005186311739,-0.0,1104.7333609892612,200000.0,-6.714941259875037,201104.73336098925,False
17,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,30.0,0.6407047044485807,0.5,0.5,0.18468783354386686,10.197259349748492,True,True,True,False,False,True,False,False,False,True,False,False,True,True,7.6960696471290335,-0.0,5334.492379987131,200000.0,-13.862291482108242,205334.49237998712,False
18,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,0.08752448856830597,0.5,0.5,0.19769632324576378,10.383707623928785,True,True,True,False,False,True,False,False,False,True,False,False,True,True,7.768171550570422,-0.0,7844.1956268579515,200000.0,-4.167573086868622,207844.19562685795,False
19,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.844667611643672,0.5,0.5,0.17104762030765414,10.942239656113088,True,True,True,False,False,True,False,False,False,True,False,False,True,True,8.494703549049868,-0.0,4472.910309140559,200000.0,-15.84642716273525,204472.91030914057,False
20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.15453318413347006,0.5,0.5,0.17803106490522622,10.524610634893179,True,True,True,False,False,True,False,False,False,True,False,False,True,True,7.8041891257209475,-0.0,4704.225170280218,200000.0,-4.370945323507572,204704.22517028023,False
21,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,30.0,0.9135035956278443,0.5,0.5,0.20386769162490964,10.083020596764982,True,True,True,False,False,True,False,False,False,True,False,False,True,True,8.329039727348468,-3.0890211101520886,0.00021164397094253218,-102197.30842194211,-24.39034486633748,0.00021164397094253218,False
22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.244456842541695,0.3582520103082061,0.5,0.5,0.18,10.2696214588359,True,True,True,False,False,True,False,False,True,True,False,False,False,True,7.898021613123422,-0.0,4274.983223535023,200000.0,-1.9026479737394146,204274.98322353503,False
